specimen_id,species,position,form,color,staining,remainingpercent,condition,
30181,Amanita bisporigera,superior,membranous,white,maybe slight brownish,100,collapsed,
30182,Amanita suballiacea,superior,membranous,white,na,100,free,
30183,Amanita oberwinkleriana,superior,submembranous,light yellow,na,100,collapsed,
30184,Amanita suballiacea,superior,line,yellow,na,1,na,
30185,,na,na,na,na,na,na,
30186,Amanita sp 44,na,na,na,na,na,na,
30187,Amanita suballiacea,At apex,submembranous,white,light yellow in places,80,collapsed,
30187_2,Amanita suballiacea,At apex,"membranous, thin",white,na,100,free,
30187_3,Amanita suballiacea,At apex,"membranous, thin",white,na,100,free,
30188,,na,na,na,na,na,na,
30189,Amanita rhacopus,na,na,na,na,na,na,
30190,Amanita frostiana,na,submembranous,white with yellow tints,na,100,attached to gills,
30191,Amanita frostiana,superior,submembranous,white with yellow tint,no,na,collapsed,
30192,Amanita muscaria var. guessowii,superior,line,very light yellow,no,1,na,
30193,,na,na,na,na,na,na,
30193_2,,na,na,na,na,na,na,
30193_3,,na,na,na,na,na,na,
30194,,na,na,na,na,na,na,
30194_2,,na,na,na,na,na,na,
30195,Amanita amerivirosa,At apex,submembranous,white,no,100,attached to gills,
30196,Amanita muscaria var. guessowii,na,na,na,na,na,na,
30197,Amanita muscaria var. guessowii,na,na,na,na,na,na,
30198,,na,na,na,na,na,na,
30199,,superior,submembranous,white,no,50,na,
30199_2,,superior,submembranous,white,no,na,na,
30199_3,,superior,submembranous,white,no,na,na,
30199_4,,superior,submembranous,white,no,na,na,
30200,Amanita bisporigera,na,na,na,na,na,na,
30201,,superior,membranous,yellow,no,50,collapsed,
30202,,superior,submembranous,grey,no,50,collapsed,
30203,,superior,submembranous,dingey white,no,25,collapsed,
30204,,superior,submembranous,white,no,50,collapsed,
30204_2,,superior,submembranous,white,no,na,na,
30204_3,,superior,submembranous,white,no,na,attached to gills,
30204_4,,superior,submembranous,white,no,na,na,
30205,Amanita flavoconia,na,na,na,na,na,na,
30206,Amanita flavoconia,superior,submembranous,yellow,no,25,collapsed,
30207,,superior,membranous,grey-brown,no,75,collapsed,
30208,,superior,membranous,light yellow,no,100,free,
30208_2,,na,na,na,na,na,na,
30209,Amanita amerivirosa,na,na,na,na,na,na,
30210,Amanita muscaria var. guessowii,At apex,submembranous,light yellow,no,25,collapsed,
30211,Amanita muscaria var. guessowii,Immature specimen,na,na,na,na,na,
30212,,na,na,na,na,na,na,
30213,,superior,membranous,light yellow,no,75,free,
30214,,superior,"membranous, folded",yellow hue,no,50,collapsed,
30215,,na,na,na,na,na,na,
30216,,superior,membranous,light yellow,no,75,collapsed,
30217,,superior,submembranous,white,no,75,attached to gills,
30218,,superior,membranous,light bright yellow,no,50,free,
30219,,superior,submembranous,white,no,75,attached to gills,
30220,,na,na,na,na,na,na,
30221,,superior,submembranous,white,NA,100,na,
30222,,superior,membranous,cream,no,50,free,
30223,,superior,membranous,cream,no,50,free,
30223_2,,mid,membranous,cream,no,na,free,
30223_3,,mid,membranous,cream,no,na,free,
