specimen_id,species,attachment,colorinmasse,distribution,staining,breadth,edge,othercomment
30181,Amanita bisporigera,free,cream,subcrowded,no,not observed,not observed,na
30182,Amanita suballiacea,free,white,crowded,no,not observed,not observed,na
30183,Amanita oberwinkleriana,narrowly adnexed,cream-light yellow,Sub crowded,no,not observed,not observed,na
30184,Amanita suballiacea,free,cream to light yellow,subcrowded,no,not observed,not observed,na
30185,,narrowly adnexed,cream,subcrowded,no,not observed,not observed,na
30186,Amanita sp 44,free,white to cream,subcrowded,no,not observed,not observed,na
30187,Amanita suballiacea,narrowly adnexed,white,crowded,no,not observed,not observed,na
30187_2,Amanita suballiacea,narrowly adnexed,white,crowded,no,not observed,not observed,na
30187_3,Amanita suballiacea,narrowly adnexed,white,subcrowded,no,not observed,not observed,na
30188,,free,cream-white,crowded,no,not observed,not observed,na
30189,Amanita rhacopus,free,white,subcrowded,no,not observed,crenate,na
30190,Amanita frostiana,free,white,crowded,no,not observed,not observed,na
30191,Amanita frostiana,free,Light yellow,crowded,no,not observed,not observed,na
30192,Amanita muscaria var. guessowii,narrowly adnexed,white-cream,crowded,no,not observed,not observed,na
30193,,free,white,crowded,no,not observed,not observed,na
30193_2,,free,white,crowded,no,not observed,not observed,na
30193_3,,free,white,crowded,no,not observed,not observed,na
30194,,narrowly adnexed,white but browning,crowded,no,not observed,not observed,na
30194_2,,narrowly adnexed,white but browning,crowded,no,not observed,not observed,na
30195,Amanita amerivirosa,free,Dingey white,crowded,no,not observed,not observed,na
30196,Amanita muscaria var. guessowii,free,white-dingey white,subcrowded,no,not observed,not observed,na
30197,Amanita muscaria var. guessowii,free,white,subcrowded,no,not observed,not observed,na
30198,,free,white,crowded,no,not observed,not observed,minute forking (photo 07305)
30199,,free,white,crowded,no,not observed,not observed,na
30199_2,,free,white,crowded,no,not observed,not observed,na
30199_3,,free,white,crowded,no,not observed,not observed,na
30199_4,,free,white,crowded,no,not observed,not observed,na
30200,Amanita bisporigera,free,white,crowded,no,not observed,not observed,na
30201,,free,yellow,crowded,no,not observed,not observed,na
30202,,free,white,crowded,no,not observed,not observed,na
30203,,free,white,crowded,no,not observed,not observed,na
30204,,free,white,crowded,no,not observed,not observed,na
30204_2,,free,white,crowded,no,not observed,not observed,na
30204_3,,free,white,crowded,no,not observed,not observed,na
30204_4,,free,white,crowded,no,not observed,not observed,na
30205,Amanita flavoconia,free,white-yellow white,crowded,no,not observed,not observed,na
30206,Amanita flavoconia,free,white with slight tinge of yellow,crowded,no,not observed,not observed,na
30207,,free,"white, turning brown",crowded,no,not observed,not observed,thick gills
30208,,free,white,crowded,no,not observed,not observed,na
30208_2,,free,white,crowded,no,not observed,not observed,na
30209,Amanita amerivirosa,free,white,crowded,no,not observed,not observed,na
30210,Amanita muscaria var. guessowii,free,white,crowded,no,not observed,not observed,na
30211,Amanita muscaria var. guessowii,na,na,na,na,na,na,na
30212,,narrowly adnexed,dingey cream,crowded,no,not observed,crenate,na
30213,,free,light yellow,crowded,no,not observed,not observed,na
30214,,free,light yellow,crowded,no,not observed,not observed,na
30215,,free,white,crowded,no,not observed,not observed,na
30216,,narrowly adnexed,cream,crowded,no,not observed,fimbriate,na
30217,,free,white,crowded,no,not observed,not observed,na
30218,,free,white,crowded,no,not observed,not observed,na
30219,,free,white,crowded,no,not observed,not observed,na
30220,,free,cream,subcrowded,no,not observed,fimbriate,na
30221,,adnexed,cream,crowded,no,broad,smooth,na
30222,,free,white,crowded,no,broad,crenate,na
30223,,free,white,crowded,no,broad,crenate,na
30223_2,,free,white,crowded,no,broad,crenate,na
30223_3,,free,white,crowded,no,broad,crenate,na
30224,,free,white,crowded,no,broad,crenate,na
30224_2,,free,white,crowded,no,broad,crenate,na
30225,Amanita populiphila,narrowly adnexed,cream,subcrowded,no,not observed,fimbriate,na
30226,Amanita sp NY06,free,white,subcrowded,no,broad,fimbriate,na
30226_2,Amanita sp NY06,free,white,subcrowded,no,broad,fimbriate,na
30227,Amanita sp NY06,adnexed,white,subcrowded,no,broad,smooth,na
30228,Amanita flavoconia,free,white yellow tinge toward margin,crowded,no,not observed,smooth,na
30229,,free,white,subcrowded,no,not observed,smooth,na
30230,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30230_2,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30230_3,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30230_4,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30230_5,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30230_6,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30230_7,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30230_8,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,na
30231,Amanita aff. rubescens,adnexed,white,crowded,no,not observed,smooth,na
30232,Amanita aff. rubescens,adnexed,white,crowded,brick,not observed,smooth,na
30233,Amanita rhacopus,adnexed,white,Subdistant,no,not observed,smooth,na
30234,Amanita rhacopus,free,grey,subcrowded,no,not observed,smooth,na
30235,,adnexed,white,crowded,no,not observed,not observed,na
30236,,adnexed,white,subcrowded,no,broad,not observed,na
30237,,free,white,subcrowded,no,not observed,smooth,na
30238,,free,white,crowded,no,broad,crenate,na
