specimen_id,species,form,amount,distribution,end,
30181,Amanita bisporigera,uneven lengths,plentiful,uneven,not observed,
30182,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,
30183,Amanita oberwinkleriana,uneven lengths,dispersed,uneven,not observed,
30184,Amanita suballiacea,uneven lengths,dispersed,uneven,not observed,
30185,,uneven lengths,dispersed,uneven,not observed,
30186,Amanita sp 44,uneven lengths,dispersed,uneven,not observed,
30187,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,
30187_2,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,
30187_3,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,
30188,,na,na,na,na,
30189,Amanita rhacopus,uneven lengths,plentiful,uneven,not observed,
30190,Amanita frostiana,uneven lengths,plentiful,uneven,not observed,
30191,Amanita frostiana,uneven lengths,plentiful,uneven,not observed,
30192,Amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed,
30193,,uneven lengths,plentiful,uneven,not observed,
30193_2,,uneven lengths,plentiful,uneven,not observed,
30193_3,,uneven lengths,plentiful,uneven,not observed,
30194,,uneven lengths,plentiful,uneven,not observed,
30194_2,,uneven lengths,plentiful,uneven,not observed,
30195,Amanita amerivirosa,uneven lengths,dispersed,uneven,not observed,
30196,Amanita muscaria var. guessowii,na,na,na,na,
30197,Amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed,
30198,,uneven lengths,dispersed,uneven,not observed,
30199,,uneven lengths,dispersed,uneven,not observed,
30199_2,,uneven lengths,dispersed,uneven,not observed,
30199_3,,uneven lengths,dispersed,uneven,not observed,
30199_4,,uneven lengths,dispersed,uneven,not observed,
30200,Amanita bisporigera,uneven lengths,plentiful,uneven,not observed,
30201,,uneven lengths,plentiful,even,not observed,
30202,,uneven lengths,plentiful,uneven,not observed,
30203,,uneven lengths,plentiful,uneven,not observed,
30204,,uneven lengths,plentiful,uneven,not observed,
30204_2,,uneven lengths,plentiful,uneven,not observed,
30204_3,,uneven lengths,plentiful,uneven,not observed,
30204_4,,uneven lengths,plentiful,uneven,not observed,
30205,Amanita flavoconia,uneven lengths,plentiful,uneven,not observed,
30206,Amanita flavoconia,uneven lengths,plentiful,even,not observed,
30207,,uneven lengths,plentiful,uneven,not observed,
30208,,uneven lengths,plentiful,even,not observed,
30208_2,,uneven lengths,plentiful,even,not observed,
30209,Amanita amerivirosa,uneven lengths,plentiful,uneven,not observed,
30210,Amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed,
30211,Amanita muscaria var. guessowii,not observed,not observed,not observed,not observed,
30212,,uneven lengths,plentiful,uneven,rounded truncate,
30213,,uneven lengths,plentiful,uneven,rounded truncate,
30214,,uneven lengths,plentiful,uneven,rounded truncate,
30215,,uneven lengths,plentiful,uneven,truncate,
30216,,uneven lengths,plentiful,uneven,rounded truncate,
30217,,uneven lengths,plentiful,uneven,rounded truncate,
30218,,uneven lengths,plentiful,even,rounded truncate,
30219,,uneven lengths,not observed,not observed,not observed,
30220,,uneven lengths,dispersed,uneven,rounded truncate,
30221,,uneven lengths,plentiful,uneven,truncate,
30222,,uneven lengths,plentiful,uneven,truncate,
30223,,uneven lengths,plentiful,uneven,truncate,
30223_2,,uneven lengths,plentiful,uneven,truncate,
30223_3,,uneven lengths,plentiful,uneven,truncate,
30224,,uneven lengths,plentiful,uneven,truncate,
30224_2,,uneven lengths,plentiful,uneven,truncate,
30225,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30226,Amanita sp NY06,uneven lengths,plentiful,uneven,truncate,
30226_2,Amanita sp NY06,uneven lengths,plentiful,uneven,truncate,
30227,Amanita sp NY06,uneven lengths,plentiful,uneven,truncate,
30228,Amanita flavoconia,uneven lengths,plentiful,uneven,rounded truncate,
30229,,uneven lengths,plentiful,uneven,truncate,
30230,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_2,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_3,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_4,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_5,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_6,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_7,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_8,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
