specimen_id,species,diameter_mm,centercolor,margincolor,shape,surfacetexture,umbonate,striationlength_mm,appendiculate,universalveilpresent,staining,contextcolor,
30181,Amanita bisporigera,52,light brownish yellow,white,plano-convex,glaborous,umbonate,0,not appendiculate,universal veil absent,no staining,white,
30182,Amanita suballiacea,107,white,white,planar,dry and Smooth,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30183,Amanita oberwinkleriana,60,shiny white,shiny white,plano-concave,viscid,not umbonate,4,not appendiculate,universal veil present,no staining,white,
30184,Amanita suballiacea,58,cream,white,plano-convex,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30185,,32,orange-brown,orange,plano-convex,dry,umbonate,5,not appendiculate,universal veil absent,no staining,white,
30186,Amanita sp 44,27,cream,white,planar,viscid,not umbonate,5,not appendiculate,universal veil present,slight grey,white,
30187,Amanita suballiacea,112,cream,white,plano-convex,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30187_2,Amanita suballiacea,69,cream,white,planar,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30187_3,Amanita suballiacea,113,cream,white,planar,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30188,,22,brown,light brown,planar,glaborous,not umbonate,7,not appendiculate,universal veil present,no staining,white,
30189,Amanita rhacopus,75,dark brown,light brown,planar,viscid,minutely umbonate,12,not appendiculate,universal veil present,no staining,white,
30190,Amanita frostiana,65,Yellow,yellow,convex,viscid,not umbonate,7,not appendiculate,universal veil present,no staining,white,
30191,Amanita frostiana,47,Yellow,yellow,convex,slightly viscid,not umbonate,9,not appendiculate,universal veil present,no staining,white,
30192,Amanita muscaria var. guessowii,57,light brown,white,planar,sticky,not umbonate,5,not appendiculate,universal veil present,no staining,white,
30193,,50,brown,light brown,planar,dry,not umbonate,8,not appendiculate,universal veil absent,no staining,white,
30193_2,,37,brown,light brown,plano-convex,dry,not umbonate,8,not appendiculate,universal veil absent,no staining,white,
30193_3,,35,brown,light brown,convex,dry,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30194,,35,brown,light brown,planar,wrinkly,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30194_2,,28,light brown,light brown,convex,dry,not umbonate,4,not appendiculate,universal veil absent,no staining,white,
30195,Amanita amerivirosa,70,light brown,cream,convex,wrinkly,not umbonate,6,not appendiculate,universal veil absent,no staining,white,
30196,Amanita muscaria var. guessowii,127,light brown,light yellow,plano-concave,viscid,not umbonate,18,not appendiculate,universal veil present,no staining,white,
30197,Amanita muscaria var. guessowii,85,Yellow-orange,yellow,planar,viscid,not umbonate,9,not appendiculate,universal veil present,no staining,white,
30198,,43,dark brown,light brown,convex,viscid,minutely umbonate,10,not appendiculate,universal veil absent,no staining,white,
30199,,77,light brown,white,planar,majorly viscid,umbonate,3,not appendiculate,universal veil absent,no staining,white,
30199_2,,60,cream,white,planar,majorly viscid,umbonate,8,not appendiculate,universal veil absent,no staining,white,
30199_3,,65,white,white,convex,majorly viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30199_4,,50,white,white,campanulate,majorly viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30200,Amanita bisporigera,55,dingey white,white,planar,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30201,,38,yellow-orange,yellow-orange,planar,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white,
30202,,52,brown,brown,planar,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30203,,65,cream,cream,planar,viscid,not umbonate,1,not appendiculate,universal veil absent,no staining,white,
30204,,75,off white,white,plano-convex,viscid,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30204_2,,63,slight yellow tint,white,plano-convex,viscid,not umbonate,2,not appendiculate,universal veil absent,no staining,white,
30204_3,,58,white,white,plano-convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30204_4,,45,white,white,convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30205,Amanita flavoconia,45,brownish yellow,yellow,planar,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30206,Amanita flavoconia,33,brown,orange,plano-convex,viscid,not umbonate,1,not appendiculate,universal veil present,no staining,white,
30207,,67,dark brown,light brown,planar,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30208,,52,light yellow,light yellow,plano-convex,smooth,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30208_2,,48,light yellow,light yellow,campanulate,smooth,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30209,Amanita amerivirosa,57,light brown,white,planar,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30210,Amanita muscaria var. guessowii,70,orange,yellow,plano-convex,Sticky,not umbonate,6,not appendiculate,universal veil present,no staining,white,
30211,Amanita muscaria var. guessowii,45,light yellow,light yellow,campanulate,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30212,,50,light brown,light brown,planar,dry,not umbonate,7,appendiculate,universal veil present,no staining,white,
30213,,37,Bright yellow,light yellow,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30214,,25,Bright yellow,light yellow,plano-convex,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30215,,52,dark grey,light grey,planar,dry,not umbonate,7,not appendiculate,universal veil absent,no staining,white,
30216,,55,dingey yellow,very light yellow,plano-convex,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30217,,42,dingey brown,light yellow,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil present,brown,white,
30218,,45,bright yellow,bright yellow,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30219,,75,shiney bright yellow with tinge of green,shiney bright yellow with tinge of green,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30220,,39,grey with light grey concentric ring,grey,planar,viscid,minutely umbonate,7,not appendiculate,universal veil absent,no staining,white,
30221,,42,cream to light brown,white,convex,viscid,not umbonate,3,not appendiculate,universal veil present,slight brown,white,
30222,,53,dark brown,cream,planar,silky,not umbonate,9,not appendiculate,universal veil present,no staining,white,
30223,,50,light brown,white,plano-concave,silky,not umbonate,12,not appendiculate,universal veil present,no staining,white,
30223_2,,57,light brown,white,plano-concave,viscid,not umbonate,8,not appendiculate,universal veil present,no staining,white,
30223_3,,60,light brown,white,plano-concave,silky,not umbonate,6,not appendiculate,universal veil present,no staining,white,
30224,,68,brown,brown tinge,concave,silky,not umbonate,12,not appendiculate,universal veil present,no staining,white,
30224_2,,63,light brown,white,plano-concave,majorly viscid,not umbonate,10,not appendiculate,universal veil present,no staining,white,
30225,Amanita populiphila,62,light pink,lighter pink,planar,glaborous,not umbonate,8,not appendiculate,universal veil present,no staining,white,
30226,Amanita sp NY06,40,light brownish yellow,light brownish yellow,convex,viscid,not umbonate,3,not appendiculate,universal veil present,no staining,white,
30226_2,Amanita sp NY06,50,light yellow,white,planar,glaborous,not umbonate,8,not appendiculate,universal veil present,no staining,white,
30227,Amanita sp NY06,26,light brown cream,cream,planar,glaborous,not umbonate,2,not appendiculate,universal veil present,no staining,white,
30228,Amanita flavoconia,32,orange-yellow,lighter orange-yellow,convex,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30229,,54,dark orange,orange-yellow,plano-convex,majorly viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30230,Amanita aff. rubescens,50,reddish brown,yellow brown,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_2,Amanita aff. rubescens,75,reddish brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_3,Amanita aff. rubescens,85,reddish brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_4,Amanita aff. rubescens,80,brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_5,Amanita aff. rubescens,82,light brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_6,Amanita aff. rubescens,132,reddish brown,light brown,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_7,Amanita aff. rubescens,34,yellow-brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_8,Amanita aff. rubescens,45,brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30231,Amanita aff. rubescens,90,brown,brown,convex,dry,not umbonate,0,not appendiculate,universal veil absent,brick,white,
30232,Amanita aff. rubescens,70,light brown,white,planar,glaborous,not umbonate,3,not appendiculate,universal veil present,brick,white,
30233,Amanita rhacopus,67,dark brown,light brown,planar,viscid,not umbonate,14,not appendiculate,universal veil absent,no staining,white,
30234,Amanita rhacopus,98,dark brown,light brown,planar,glaborous,not umbonate,20,not appendiculate,universal veil absent,no staining,white,
30235,,28,light brown,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30236,,60,dark brown,light brown,planar,viscid,not umbonate,3,not appendiculate,universal veil present,no staining,white,
30237,,33,shiny grey,shiny light grey,plano-concave,silky,not umbonate,7,not appendiculate,universal veil absent,no staining,white,
30238,,60,brown yellow and radiating,yellow,planar,not observed,not umbonate,3,not appendiculate,universal veil present,brick,white,
30239,Amanita virginiana,30,grey-brown,grey-brown,plano-convex,not observed,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30239_2,Amanita virginiana,20,grey-brown,grey-brown,plano-convex,not observed,not umbonate,3,not appendiculate,universal veil present,no staining,white,
30240,,45,light yellow,white,plano-concave,not observed,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30242,,40,dark orange,light orange,planar,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white,
30243,,45,light brown,cream,campanulate,viscid,not umbonate,6,not appendiculate,universal veil absent,no staining,white,
30244,,30,light grey,white,convex,majorly viscid,not umbonate,7,not appendiculate,universal veil absent,no staining,white,
30245,,na,brown,light orange,planar,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30246,Amanita brunnescens,60,brown,light brown,campanulate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30247,,45,light grey,white,plano-concave,silky,not umbonate,10,not appendiculate,universal veil present,no staining,white,
30248,Amanita brunnescens,65,dark brown,brown,convex,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30249,Amanita sp NY06,45,dingey yellow,light tan to cream,plano-concave,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white,
30249_2,Amanita sp NY06,40,dingey yellow,cream,planar,viscid,not umbonate,5,not appendiculate,universal veil present,,white,
30250,,50,dark grey-brown,light grey-brown,planar,dry,not umbonate,10,not appendiculate,universal veil absent,no staining,white,
30250_2,,30,grey-brown,light brown,convex,dry,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30251,,165,light grey,white,plano-convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30252,Amanita aff. rubescens,52,light brownish red,white,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,brick,white,
30253,Amanita brunnescens,50,cream,white,campanulate,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30254,Amanita brunnescens,80,brown,light brown,plano-convex,Sticky,umbonate,0,not appendiculate,universal veil present,no staining,white,
30255,,45,orange-brown,light orange,planar,viscid,not umbonate,10,not appendiculate,universal veil absent,no staining,white,
30256,Amanita rhacopus,50,brown,brown,planar,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white,
30257,,40,white green tint,white,planar,silky,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30257_2,,50,white green tint,white,planar,silky,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30258,Amanita brunnescens,75,brown radiating,light brown,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30259,Amanita brunnescens,55,light brown,cream,planar,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30260,Amanita solaniolens,40,light brown-yellow,cream w brown ring,plano-concave,majorly viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30261,,60,orange,yellow,planar,majorly viscid,not umbonate,10,not appendiculate,universal veil present,no staining,white,
30262,,55,brown,brown,plano-concave,viscid,umbonate,10,not appendiculate,universal veil absent,no staining,white,
30263,Amanita brunnescens,90,brown,light brown,planar,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30264,Amanita aff. rubescens,40,light brown,white,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30265,,90,bronze,bronze,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30267,,95,white,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30268,,60,brown,brown light brown ring in between,planar,glaborous,umbonate,12,not appendiculate,universal veil absent,no staining,white,
30269,,100,white,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30270,,70,white,white,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30271,,70,light bronze,light bronze,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30272,Amanita brunnescens,50,light brown,cream,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30273,,70,cream with yellow tinge,white,planar,glaborous,umbonate,0,not appendiculate,universal veil absent,no staining,white,
30274,,70,light brown,light brown,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,slight brown,white,
30274_2,,na,light brown,light brown,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,slight brown,white,
30275,Amanita bisporigera,60,white,white,planar,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30276,,50,light brown,white,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30277,Amanita bisporigera,30,light brown tinge,white,planar,dry,umbonate,0,not appendiculate,universal veil absent,no staining,white,
30278,,45,brown,cream,planar,glaborous,not umbonate,7,not appendiculate,universal veil absent,no staining,white,
30279,,85,white,white,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,
30280,Amanita populiphila,85,pink-tan,pink-tan,convex,glaborous,not umbonate,10,not appendiculate,universal veil absent,no staining,white,
30280_2,Amanita populiphila,70,pink-tan,pink-tan,convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30280_3,Amanita populiphila,40,pink-tan,pink-tan,plano-convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30280_4,Amanita populiphila,45,pink-tan,pink-tan,planar,glaborous,not umbonate,12,not appendiculate,universal veil absent,no staining,white,
30280_5,Amanita populiphila,40,pink-tan,pink-tan,planar,glaborous,not umbonate,3,not appendiculate,universal veil absent,no staining,white,
30280_6,Amanita populiphila,85,pink-tan,pink-tan,planar,glaborous,not umbonate,20,not appendiculate,universal veil absent,no staining,white,
30280_7,Amanita populiphila,90,pink-tan,pink-tan,campanulate,glaborous,not umbonate,15,not appendiculate,universal veil absent,no staining,white,
30281,Amanita sp 44,40,cream-white ring,cream,convex,glaborous,not umbonate,5,not appendiculate,universal veil present,no staining,white,
30282,Amanita sp 44,35,brown,brown,planar,dry,minutely umbonate,7,not appendiculate,universal veil absent,no staining,white,
30283,,65,brown,yellow,planar,dry,not umbonate,0,not appendiculate,universal veil present,brick,white,
30284,Amanita suballiacea,75,light yellow-pink tint,white,planar,dry,minutely umbonate,0,not appendiculate,universal veil absent,no staining,white,
30285,Amanita sp 44,60,brown-grey,brown-grey,planar,dry,not umbonate,5,not appendiculate,universal veil present,no staining,white,
30286,Amanita porphyria,45,brown,brown,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30287,,75,dingey yellow,light yellow,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,lavender,white,
30291,,35,yellow,yellow tinge,planar,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,
30293,Amanita porphyria,55,shiny brown,shiny brown,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
40220,,68,light yellow,cream,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,
