specimen_id,species,length_mm,width_mm,color,shape,decoration_bottom,decoration_top,staining,annulus,universal_veil,context_type,context_color,context_stain,
30181,Amanita bisporigera,93,21,white,narrowing upward,fibrillose,smooth,not apparent,present,present,na,na,no,
30182,Amanita suballiacea,75,62,white,narrowing upward,fibrillose,na,not apparent,present,present,solid spongy,white,no,
30183,Amanita oberwinkleriana,93,7,white-light yellow,narrowing upward,minutely fibrillose,smooth,not apparent,present,present,na,na,no,
30184,Amanita suballiacea,112,8,white-light yellow,narrowing upward,flocculose,smooth,not apparent,present,present,spongy,cream,no,
30185,,55,4,light orange,narrowing upward,fuzzy,na,not apparent,absent,present,na,na,no,
30186,Amanita sp 44,24,5,white-cream,narrowing upward,minutely scabrous,na,grey,absent,present,na,na,no,
30187,Amanita suballiacea,125,18,white,cylindrical,floccose,scabrous,not apparent,present,present,na,na,no,
30187_2,Amanita suballiacea,112,11,white,cylindrical,majorly floccose-peeling,na,not apparent,present,present,solid,white to light yellow at edge,no,
30187_3,Amanita suballiacea,190,17,white,cylindrical,majorly floccose,na,not apparent,present,present,na,na,no,
30188,,42,2,white-cream,narrowing upward,minutely scabrous,na,not apparent,absent,present,na,na,no,
30189,Amanita rhacopus,115,10,light brown and white,narrowing upward,scabrous,na,not apparent,absent,present,stuffed,white,no,
30190,Amanita frostiana,55,9,white  with yellow tints,cylindrical,floccose,na,brown,present,present,stuffed,white,yellow,
30191,Amanita frostiana,45,7,dingey white,narrowing upward,scabrous,na,not apparent,present,present,stuffed,white,no,
30192,Amanita muscaria var. guessowii,51,7,dingey white,cylindrical,streaking,streaking,not apparent,present,present,solid spongy,white,no,
30193,,97,8,white,narrowing upward,smooth,na,not apparent,absent,present,na,na,no,
30193_2,,90,6,white,narrowing upward,smooth,na,not apparent,absent,present,na,na,no,
30193_3,,85,7,white,narrowing upward,smooth,na,not apparent,absent,present,na,na,no,
30194,,100,6,dingey white,narrowing upward,smooth,na,not apparent,absent,present,barely stuffed,white,no,
30194_2,,75,5,white,narrowing upward,smooth,na,not apparent,absent,present,na,na,no,
30195,Amanita amerivirosa,147,9,dingey white,narrowing upward,scabrous,na,not apparent,present,present,solid-spongy,white,no,
30196,Amanita muscaria var. guessowii,60,14,light yellow,narrowing upward,minutely fibrillose,na,not apparent,absent,present,na,na,no,
30197,Amanita muscaria var. guessowii,85,9,dingey yellow white,cylindrical,floccose,na,not apparent,absent,absent,na,na,no,
30198,,90,7,cream,narrowing upward,scabrous,smooth,not apparent,absent,present,na,na,no,
30199,,125,10,white,cylindrical,flocculose,smooth,not apparent,present,present,stuffed,white,no,
30199_2,,105,9,dingey white,narrowing upward,flocculose,smooth,not apparent,present,present,stuffed,white,no,
30199_3,,85,9,white,narrowing upward,flocculose,smooth,not apparent,present,present,stuffed,white,no,
30199_4,,50,9,white,cylindrical,flocculose,smooth,not apparent,present,present,stuffed,white,no,
30200,Amanita bisporigera,50,6,cream,cylindrical,na,na,not apparent,absent,present,na,na,no,
30201,,48,5,light yellow,narrowing upward,smooth,smooth,not apparent,present,absent,hollow,white,no,
30202,,105,7,"grey, drab",narrowing upward,scabrous,smooth,not apparent,present,absent,na,na,no,
30203,,70,10,dingey white,cylindrical,na,na,not apparent,present,present,hollow,white,no,
30204,,114,13,dingey white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no,
30204_2,,105,9,white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no,
30204_3,,100,11,white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no,
30204_4,,80,10,white,cylindrical,smooth,floccose,not apparent,present,absent,stuffed,white,no,
