specimen_id,species,form,color,texture,attachment,distribution,
30181,Amanita bisporigera,na,na,na,na,na,
30182,Amanita suballiacea,na,na,na,na,na,
30183,Amanita oberwinkleriana,patches,white,membranous,adnate,As roughly five large patches near margin not touching very center,
30184,Amanita suballiacea,na,na,na,na,na,
30185,,na,na,na,na,na,
30186,Amanita sp 44,patches,white,membranous,adnate,1 patch,
30187,Amanita suballiacea,na,na,na,na,na,
30187_2,Amanita suballiacea,na,na,na,na,na,
30187_3,Amanita suballiacea,na,na,na,na,na,
30188,,patches,white,membranous,adnate,1 largeish patch in center,
30189,Amanita rhacopus,patches,Brown,submembranous,easily removed,Five small patches in a single area on pileus,
30190,Amanita frostiana,warts,white,membranous,easily removed,Very few near the margin,
30191,Amanita frostiana,warts,white,membranous,easily removed,Cover pileus semi-densely,
30192,Amanita muscaria var. guessowii,patches,dingey white to brown,membranous,adnate,Almost evenly distributed across pileus,
30193,,na,na,na,na,na,
30193_2,,na,na,na,na,na,
30193_3,,na,na,na,na,na,
30194,,na,na,na,na,na,
30194_2,,na,na,na,na,na,
30195,Amanita amerivirosa,na,na,na,na,na,
30196,Amanita muscaria var. guessowii,warts,dingey brown,membranous,easily removed,Prolific and consant on all pileus,
30197,Amanita muscaria var. guessowii,warts,dingey white,friable,na,Relatively even,
30198,,na,na,na,na,na,
30199,,na,na,na,na,na,
30199_2,,na,na,na,na,na,
30199_3,,na,na,na,na,na,
30199_4,,na,na,na,na,na,
30200,Amanita bisporigera,na,na,na,na,na,
30201,,patches,yellow,friable,easily removed,sparsely evenly distributed,
30202,,na,na,na,na,na,
30203,,na,na,na,na,na,
30204,,na,na,na,na,na,
30204_2,,na,na,na,na,na,
30204_3,,na,na,na,na,na,
30204_4,,na,na,na,na,na,
30205,Amanita flavoconia,warts,dingey white-brown,membranous,adnate,only on very center,
30206,Amanita flavoconia,warts,dingey brown,friable,easily removed,few towards the center,
30207,,patches,dingey brown,membranous,easily removed,one large and one small patch,
30208,,patches,dingey white,submembranous,semi-easily removed,3 large patches and numerous smaller ones; sparse,
30208_2,,patches,dingey white,submembranous,semi-easily removed,4 large patches and numerous smaller ones; sparse,
30209,Amanita amerivirosa,na,na,na,na,na,
30210,Amanita muscaria var. guessowii,warts,dingey white - brown,friable,easily removed,Mostly even with one side not having many,
30211,Amanita muscaria var. guessowii,warts,white,membranous,adnate,fully covering piileus,
30212,,patches,dingey white-light brown,membranous,easily removed,As one large and several small patches on only one half of pileus,
30213,,na,na,na,na,na,
30214,,patches,dingey brown,membranous,easily removed,one patch close to center,
30215,,na,na,na,na,na,
30216,,patches,dingey white,membranous,adnate,3 or 4 small patches on one side,
30217,,powder,dingey white,pulverulent,easily removed,A little on margin,
30218,,na,na,na,na,na,
30219,,patches,white,membranous,adnate,small to large right on the margin,
30220,,na,na,na,na,na,
30221,,warts,brown-white,membranous,adnate,even; semi-common,
30222,,warts,white-light brown,submembranous,easily removed,dense and even,
30223,,warts,white-light brown,submembranous,easily removed,dense and even,
30223_2,,warts,white-light brown,submembranous,easily removed,dense and even,
30223_3,,warts,white-light brown,submembranous,easily removed,dense and even,
30224,,warts,white-light brown,submembranous,easily removed,dense and even,
30224_2,,warts,white-light brown,submembranous,easily removed,dense and even,
30225,Amanita populiphila,warts,light pink,hard,adnate,sparse but evenish,
30226,Amanita sp NY06,patches,white,submembranous,easily removed,uneve and sparse,
30226_2,Amanita sp NY06,patches,white,submembranous,easily removed,uneve and sparse,
30227,Amanita sp NY06,patches,white,submembranous,easily removed,uneve and sparse,
30228,Amanita flavoconia,patches,white-yellow tinge,pulverulent,easily removed,uneven semi-sparse,
30229,,patches,light yellow,pulverulent,easily removed,"plentiful, semi-even",
30230,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_2,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_3,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_4,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_5,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_6,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_7,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_8,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30231,Amanita aff. rubescens,na,na,na,na,na,
30232,Amanita aff. rubescens,patches,cream,pulverulent,easily removed,uneven (only 1),
30233,Amanita rhacopus,na,na,na,na,na,
30234,Amanita rhacopus,na,na,na,na,na,
30235,,na,na,na,na,na,
30236,,patches,light brown,sub-membornous,easily removed,unevn,
30237,,na,na,na,na,na,
30238,,warts,white in middle yellow on edge,na,na,uneven and dispersed,
30239,Amanita virginiana,patches,white,membranous,easily removed,singular patch,
