specimen_id,species,position,form,color,staining,remainingpercent,condition
30181,amanita bisporigera,superior,membranous,white,maybe slight brownish,100,collapsed
30182,amanita suballiacea,superior,membranous,white,,100,free
30183,amanita oberwinkleriana,superior,submembranous,light yellow,,100,collapsed
30184,amanita suballiacea,superior,line,yellow,,1,
30185,,,,,,,
30186,amanita sp 44,,,,,,
30187,amanita suballiacea,at apex,submembranous,white,light yellow in places,80,collapsed
30187_2,amanita suballiacea,at apex,"membranous, thin",white,,100,free
30187_3,amanita suballiacea,at apex,"membranous, thin",white,,100,free
30188,,,,,,,
30189,amanita rhacopus,,,,,,
30190,amanita frostiana,,submembranous,white with yellow tints,,100,attached to gills
30191,amanita frostiana,superior,submembranous,white with yellow tint,no,,collapsed
30192,amanita muscaria var. guessowii,superior,line,very light yellow,no,1,
30193,,,,,,,
30193_2,,,,,,,
30193_3,,,,,,,
30194,,,,,,,
30194_2,,,,,,,
30195,amanita amerivirosa,at apex,submembranous,white,no,100,attached to gills
30196,amanita muscaria var. guessowii,,,,,,
30197,amanita muscaria var. guessowii,,,,,,
30198,,,,,,,
30199,,superior,submembranous,white,no,50,
30199_2,,superior,submembranous,white,no,,
30199_3,,superior,submembranous,white,no,,
30199_4,,superior,submembranous,white,no,,
30200,amanita bisporigera,,,,,,
30201,,superior,membranous,yellow,no,50,collapsed
30202,,superior,submembranous,grey,no,50,collapsed
30203,,superior,submembranous,dingey white,no,25,collapsed
30204,,superior,submembranous,white,no,50,collapsed
30204_2,,superior,submembranous,white,no,,
30204_3,,superior,submembranous,white,no,,attached to gills
30204_4,,superior,submembranous,white,no,,
30205,amanita flavoconia,,,,,,
30206,amanita flavoconia,superior,submembranous,yellow,no,25,collapsed
30207,,superior,membranous,grey-brown,no,75,collapsed
30208,,superior,membranous,light yellow,no,100,free
30208_2,,,,,,,
30209,amanita amerivirosa,,,,,,
30210,amanita muscaria var. guessowii,at apex,submembranous,light yellow,no,25,collapsed
30211,amanita muscaria var. guessowii,immature specimen,,,,,
30212,,,,,,,
30213,,superior,membranous,light yellow,no,75,free
30214,,superior,"membranous, folded",yellow hue,no,50,collapsed
30215,,,,,,,
30216,,superior,membranous,light yellow,no,75,collapsed
30217,,superior,submembranous,white,no,75,attached to gills
30218,,superior,membranous,light bright yellow,no,50,free
