specimen_id,species,form,amount,distribution,end
30181,amanita bisporigera,uneven lengths,plentiful,uneven,not observed
30182,amanita suballiacea,uneven lengths,plentiful,uneven,not observed
30183,amanita oberwinkleriana,uneven lengths,dispersed,uneven,not observed
30184,amanita suballiacea,uneven lengths,dispersed,uneven,not observed
30185,,uneven lengths,dispersed,uneven,not observed
30186,amanita sp 44,uneven lengths,dispersed,uneven,not observed
30187,amanita suballiacea,uneven lengths,plentiful,uneven,not observed
30187_2,amanita suballiacea,uneven lengths,plentiful,uneven,not observed
30187_3,amanita suballiacea,uneven lengths,plentiful,uneven,not observed
30188,,,,,
30189,amanita rhacopus,uneven lengths,plentiful,uneven,not observed
30190,amanita frostiana,uneven lengths,plentiful,uneven,not observed
30191,amanita frostiana,uneven lengths,plentiful,uneven,not observed
30192,amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed
30193,,uneven lengths,plentiful,uneven,not observed
30193_2,,uneven lengths,plentiful,uneven,not observed
30193_3,,uneven lengths,plentiful,uneven,not observed
30194,,uneven lengths,plentiful,uneven,not observed
30194_2,,uneven lengths,plentiful,uneven,not observed
30195,amanita amerivirosa,uneven lengths,dispersed,uneven,not observed
30196,amanita muscaria var. guessowii,,,,
30197,amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed
30198,,uneven lengths,dispersed,uneven,not observed
30199,,uneven lengths,dispersed,uneven,not observed
30199_2,,uneven lengths,dispersed,uneven,not observed
30199_3,,uneven lengths,dispersed,uneven,not observed
30199_4,,uneven lengths,dispersed,uneven,not observed
30200,amanita bisporigera,uneven lengths,plentiful,uneven,not observed
30201,,uneven lengths,plentiful,even,not observed
30202,,uneven lengths,plentiful,uneven,not observed
30203,,uneven lengths,plentiful,uneven,not observed
30204,,uneven lengths,plentiful,uneven,not observed
30204_2,,uneven lengths,plentiful,uneven,not observed
30204_3,,uneven lengths,plentiful,uneven,not observed
30204_4,,uneven lengths,plentiful,uneven,not observed
30205,amanita flavoconia,uneven lengths,plentiful,uneven,not observed
30206,amanita flavoconia,uneven lengths,plentiful,even,not observed
30207,,uneven lengths,plentiful,uneven,not observed
30208,,uneven lengths,plentiful,even,not observed
30208_2,,uneven lengths,plentiful,even,not observed
30209,amanita amerivirosa,uneven lengths,plentiful,uneven,not observed
30210,amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed
30211,amanita muscaria var. guessowii,not observed,not observed,not observed,not observed
30212,,uneven lengths,plentiful,uneven,rounded truncate
30213,,uneven lengths,plentiful,uneven,rounded truncate
30214,,uneven lengths,plentiful,uneven,rounded truncate
30215,,uneven lengths,plentiful,uneven,truncate
30216,,uneven lengths,plentiful,uneven,rounded truncate
30217,,uneven lengths,plentiful,uneven,rounded truncate
30218,,uneven lengths,plentiful,even,rounded truncate
30219,,uneven lengths,not observed,not observed,not observed
30220,,uneven lengths,dispersed,uneven,rounded truncate
30221,,uneven lengths,plentiful,uneven,truncate
30222,,uneven lengths,plentiful,uneven,truncate
30223,,uneven lengths,plentiful,uneven,truncate
30223_2,,uneven lengths,plentiful,uneven,truncate
30223_3,,uneven lengths,plentiful,uneven,truncate
30224,,uneven lengths,plentiful,uneven,truncate
30224_2,,uneven lengths,plentiful,uneven,truncate
30225,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30226,amanita sp ny06,uneven lengths,plentiful,uneven,truncate
30226_2,amanita sp ny06,uneven lengths,plentiful,uneven,truncate
30227,amanita sp ny06,uneven lengths,plentiful,uneven,truncate
30228,amanita flavoconia,uneven lengths,plentiful,uneven,rounded truncate
30229,,uneven lengths,plentiful,uneven,truncate
30230,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30230_2,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30230_3,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30230_4,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30230_5,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30230_6,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30230_7,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30230_8,amanita aff. rubescens,uneven lengths,plentiful,even,reduced
30231,amanita aff. rubescens,uneven lengths,plentiful,uneven,truncate
30232,amanita aff. rubescens,uneven lengths,dispersed,uneven,truncate
30233,amanita rhacopus,uneven lengths,plentiful,uneven,truncate
