specimen_id,species,length_mm,width_mm,color,shape,decoration_bottom,decoration_top,staining,annulus,universal_veil,context_type,context_color,context_stain
30181,amanita bisporigera,93,21,white,narrowing upward,fibrillose,smooth,not apparent,present,present,,,no
30182,amanita suballiacea,75,62,white,narrowing upward,fibrillose,,not apparent,present,present,solid spongy,white,no
30183,amanita oberwinkleriana,93,7,white-light yellow,narrowing upward,minutely fibrillose,smooth,not apparent,present,present,,,no
30184,amanita suballiacea,112,8,white-light yellow,narrowing upward,flocculose,smooth,not apparent,present,present,spongy,cream,no
30185,,55,4,light orange,narrowing upward,fuzzy,,not apparent,absent,present,,,no
30186,amanita sp 44,24,5,white-cream,narrowing upward,minutely scabrous,,grey,absent,present,,,no
30187,amanita suballiacea,125,18,white,cylindrical,floccose,scabrous,not apparent,present,present,,,no
30187_2,amanita suballiacea,112,11,white,cylindrical,majorly floccose-peeling,,not apparent,present,present,solid,white to light yellow at edge,no
30187_3,amanita suballiacea,190,17,white,cylindrical,majorly floccose,,not apparent,present,present,,,no
30188,,42,2,white-cream,narrowing upward,minutely scabrous,,not apparent,absent,present,,,no
30189,amanita rhacopus,115,10,light brown and white,narrowing upward,scabrous,,not apparent,absent,present,stuffed,white,no
30190,amanita frostiana,55,9,white  with yellow tints,cylindrical,floccose,,brown,present,present,stuffed,white,yellow
30191,amanita frostiana,45,7,dingey white,narrowing upward,scabrous,,not apparent,present,present,stuffed,white,no
30192,amanita muscaria var. guessowii,51,7,dingey white,cylindrical,streaking,streaking,not apparent,present,present,solid spongy,white,no
30193,,97,8,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30193_2,,90,6,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30193_3,,85,7,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30194,,100,6,dingey white,narrowing upward,smooth,,not apparent,absent,present,barely stuffed,white,no
30194_2,,75,5,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30195,amanita amerivirosa,147,9,dingey white,narrowing upward,scabrous,,not apparent,present,present,solid-spongy,white,no
30196,amanita muscaria var. guessowii,60,14,light yellow,narrowing upward,minutely fibrillose,,not apparent,absent,present,,,no
30197,amanita muscaria var. guessowii,85,9,dingey yellow white,cylindrical,floccose,,not apparent,absent,absent,,,no
30198,,90,7,cream,narrowing upward,scabrous,smooth,not apparent,absent,present,,,no
30199,,125,10,white,cylindrical,flocculose,smooth,not apparent,present,present,stuffed,white,no
30199_2,,105,9,dingey white,narrowing upward,flocculose,smooth,not apparent,present,present,stuffed,white,no
30199_3,,85,9,white,narrowing upward,flocculose,smooth,not apparent,present,present,stuffed,white,no
30199_4,,50,9,white,cylindrical,flocculose,smooth,not apparent,present,present,stuffed,white,no
30200,amanita bisporigera,50,6,cream,cylindrical,,,not apparent,absent,present,,,no
30201,,48,5,light yellow,narrowing upward,smooth,smooth,not apparent,present,absent,hollow,white,no
30202,,105,7,"grey, drab",narrowing upward,scabrous,smooth,not apparent,present,absent,,,no
30203,,70,10,dingey white,cylindrical,,,not apparent,present,present,hollow,white,no
30204,,114,13,dingey white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no
30204_2,,105,9,white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no
30204_3,,100,11,white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no
30204_4,,80,10,white,cylindrical,smooth,floccose,not apparent,present,absent,stuffed,white,no
30205,amanita flavoconia,47,5,yellow-brown,narrowing upward,smooth,smooth,not apparent,absent,absent,,,no
30206,amanita flavoconia,37,4,yellow,narrowing upward,fibrillose,smooth,not apparent,present,absent,,,no
30207,,95,9,white-dingey white,narrowing upward,floccose,smooth,not apparent,present,present,,,no
30208,,65,7,dingey white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30208_2,,60,8,white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30209,amanita amerivirosa,33,11,white,narrowing upward,scabrous,smooth,not apparent,present,present,,,no
30210,amanita muscaria var. guessowii,75,9,light yellow,cylindrical,floccose,floccose,not apparent,present,present,,,no
