specimen_id,species,form,color,texture,attachment,distribution
30181,amanita bisporigera,,,,,
30182,amanita suballiacea,,,,,
30183,amanita oberwinkleriana,patches,white,membranous,adnate,as roughly five large patches near margin not touching very center
30184,amanita suballiacea,,,,,
30185,,,,,,
30186,amanita sp 44,patches,white,membranous,adnate,1 patch
30187,amanita suballiacea,,,,,
30187_2,amanita suballiacea,,,,,
30187_3,amanita suballiacea,,,,,
30188,,patches,white,membranous,adnate,1 largeish patch in center
30189,amanita rhacopus,patches,brown,submembranous,easily removed,five small patches in a single area on pileus
30190,amanita frostiana,warts,white,membranous,easily removed,very few near the margin
30191,amanita frostiana,warts,white,membranous,easily removed,cover pileus semi-densely
30192,amanita muscaria var. guessowii,patches,dingey white to brown,membranous,adnate,almost evenly distributed across pileus
30193,,,,,,
30193_2,,,,,,
30193_3,,,,,,
30194,,,,,,
30194_2,,,,,,
30195,amanita amerivirosa,,,,,
30196,amanita muscaria var. guessowii,warts,dingey brown,membranous,easily removed,prolific and consant on all pileus
30197,amanita muscaria var. guessowii,warts,dingey white,friable,,relatively even
30198,,,,,,
30199,,,,,,
30199_2,,,,,,
30199_3,,,,,,
30199_4,,,,,,
30200,amanita bisporigera,,,,,
30201,,patches,yellow,friable,easily removed,sparsely evenly distributed
30202,,,,,,
30203,,,,,,
30204,,,,,,
30204_2,,,,,,
30204_3,,,,,,
30204_4,,,,,,
30205,amanita flavoconia,warts,dingey white-brown,membranous,adnate,only on very center
30206,amanita flavoconia,warts,dingey brown,friable,easily removed,few towards the center
30207,,patches,dingey brown,membranous,easily removed,one large and one small patch
30208,,patches,dingey white,submembranous,semi-easily removed,3 large patches and numerous smaller ones; sparse
30208_2,,patches,dingey white,submembranous,semi-easily removed,4 large patches and numerous smaller ones; sparse
30209,amanita amerivirosa,,,,,
30210,amanita muscaria var. guessowii,warts,dingey white - brown,friable,easily removed,mostly even with one side not having many
30211,amanita muscaria var. guessowii,warts,white,membranous,adnate,fully covering piileus
30212,,patches,dingey white-light brown,membranous,easily removed,as one large and several small patches on only one half of pileus
30213,,,,,,
30214,,patches,dingey brown,membranous,easily removed,one patch close to center
30215,,,,,,
