specimen_id,species,position,form,color,staining,remainingpercent,condition,specimen_id
30181,Amanita bisporigera,superior,membranous,white,maybe slight brownish,100,collapsed against stipe,30181
30182,Amanita suballiacea,superior,membranous,white,na,100,free,30182
30183,Amanita oberwinkleriana,superior,submembranous,light yellow,na,100,collapsed against stipe,30183
30184,Amanita suballiacea,superior,line,yellow,na,1,na,30184
30186,Amanita sp 44,na,na,na,na,na,na,30186
30187,Amanita suballiacea,At apex,submembranous,white,light yellow in places,80,collapsed against stipe,30187
30187_2,Amanita suballiacea,At apex,"membranous, thin",white,na,100,free,30187.2
30187_3,Amanita suballiacea,At apex,"membranous, thin",white,na,100,free,30187.3
30189,Amanita rhacopus,na,na,na,na,na,na,30189
30190,Amanita frostiana,na,submembranous,white with yellow tints,na,100,still attached to gills,30190
30191,Amanita frostiana,superior,submembranous,white with yellow tint,no,na,collapsed against stipe,30191
30192,Amanita muscaria var. guessowii,superior,line,very light yellow,no,1,na,30192
30195,Amanita amerivirosa,At apex,submembranous,white,no,100,still attached to gills,30195
30196,Amanita muscaria var. guessowii,na,na,na,na,na,na,30196
30197,Amanita muscaria var. guessowii,na,na,na,na,na,na,30197
30200,Amanita bisporigera,na,na,na,na,na,na,30200
30205,Amanita flavoconia,na,na,na,na,na,na,30205
30206,Amanita flavoconia,superior,submembranous,yellow,no,25,collapsed against stipe,30206
30209,Amanita amerivirosa,na,na,na,na,na,na,30209
30210,Amanita muscaria var. guessowii,At apex,submembranous,light yellow,no,25,collapsed against stipe,30210
30211,Amanita muscaria var. guessowii,Immature specimen,na,na,na,na,na,30211
30225,Amanita populiphila,na,na,na,na,na,na,30225
30226,Amanita sp NY06,na,na,na,na,na,na,30226
30226_2,Amanita sp NY06,na,na,na,na,na,na,
30227,Amanita sp NY06,na,na,na,na,na,na,30227
30228,Amanita flavoconia,superior,submembranous,dark yellow,no,50,collapsed against stipe,30228
30230,Amanita aff. rubescens,At apex,submembranous,pink,na,75,still attached to gills,30230
30230_2,Amanita aff. rubescens,At apex,submembranous,pink,na,na,still attached to gills,
30230_3,Amanita aff. rubescens,At apex,submembranous,pink,na,na,still attached to gills,
30230_4,Amanita aff. rubescens,At apex,submembranous,pink,na,na,still attached to gills,
30230_5,Amanita aff. rubescens,At apex,submembranous,pink,na,na,still attached to gills,
30230_6,Amanita aff. rubescens,At apex,submembranous,pink,na,na,still attached to gills,
30230_7,Amanita aff. rubescens,At apex,submembranous,pink,na,na,still attached to gills,
30230_8,Amanita aff. rubescens,At apex,submembranous,pink,na,na,still attached to gills,
30231,Amanita aff. rubescens,At apex,submembranous,white,brick,5,still attached to gills,30231
30232,Amanita aff. rubescens,superior,as line,na,na,na,na,30232
30233,Amanita rhacopus,na,na,na,na,na,na,30233
30234,Amanita rhacopus,na,na,na,na,na,na,30234
30239,Amanita virginiana,superior,submembranous,white,no,100,free,30239
30239_2,Amanita virginiana,na,na,na,na,na,na,
30246,Amanita brunnescens,na,na,na,na,na,na,30246
30248,Amanita brunnescens,na,na,na,na,na,na,30248
30249,Amanita sp NY06,na,na,na,na,na,na,30249
30249_2,Amanita sp NY06,na,na,na,na,na,na,
30252,Amanita aff. rubescens,superior,membranous,white,no,75,collapsed against stipe,30252
30253,Amanita brunnescens,na,na,na,na,na,na,30253
30254,Amanita brunnescens,superior,mebranous,white,no,100,free,30254
30256,Amanita rhacopus,na,na,na,na,na,na,30256
30258,Amanita brunnescens,superior,submembranous,cream,no,75,collapsed against stipe,30258
30259,Amanita brunnescens,superior,membranous,cream,no,90,free,30259
30260,Amanita solaniolens,superior,submembranous,na,no,na,na,30260
30263,Amanita brunnescens,superior,submembranous,brown,no,25,collapsed against stipe,30263
30264,Amanita aff. rubescens,na,na,na,na,na,na,30264
30272,Amanita brunnescens,na,na,na,na,na,na,30272
30275,Amanita bisporigera,superior,submembranous,white,no,na,na,30275
30277,Amanita bisporigera,superior,submembranous,white,no,na,na,30277
30280,Amanita populiphila,na,na,na,na,na,na,30280
30280_2,Amanita populiphila,na,na,na,na,na,na,
30280_3,Amanita populiphila,na,na,na,na,na,na,
30280_4,Amanita populiphila,na,na,na,na,na,na,
30280_5,Amanita populiphila,na,na,na,na,na,na,
30280_6,Amanita populiphila,na,na,na,na,na,na,
30280_7,Amanita populiphila,na,na,na,na,na,na,
30281,Amanita sp 44,na,na,na,na,na,na,30281
30282,Amanita sp 44,na,na,na,na,na,na,30282
30284,Amanita suballiacea,superior,membranous,white,no,100,free,30284
30285,Amanita sp 44,na,na,na,na,na,na,30285
30286,Amanita porphyria,superior,membranous,grey,no,100,free,30286
30293,Amanita porphyria,superior,membranous,grey,no,100,free,30293
