specimen_id,species,length_mm,width_mm,shape,specimen_id
30181,Amanita bisporigera,13,11,subglobose,30181
30182,Amanita suballiacea,27,47,ovoid,30182
30183,Amanita oberwinkleriana,27,22,subglobose,30183
30184,Amanita suballiacea,20,24,subglobose,30184
30186,Amanita sp 44,0,0,no bulb,30186
30187,Amanita suballiacea,32,35,subglobose,30187
30187_2,Amanita suballiacea,18,23,subglobose,30187.2
30187_3,Amanita suballiacea,40,42,subglobose,30187.3
30189,Amanita rhacopus,0,0,no bulb,30189
30190,Amanita frostiana,20,15,subglobose,30190
30191,Amanita frostiana,15,18,subglobose,30191
30192,Amanita muscaria var. guessowii,25,22,subglobose,30192
30195,Amanita amerivirosa,20,32,ovoid,30195
30196,Amanita muscaria var. guessowii,35,27,fusiform,30196
30197,Amanita muscaria var. guessowii,30,20,fusiform,30197
30200,Amanita bisporigera,15,13,subglobose,30200
30205,Amanita flavoconia,15,10,fusiform,30205
30206,Amanita flavoconia,6,9,ovoid,30206
30209,Amanita amerivirosa,18,24,subglobose,30209
30210,Amanita muscaria var. guessowii,na,na,na,30210
30211,Amanita muscaria var. guessowii,35,30,subglobose,30211
30225,Amanita populiphila,10,18,napiform,30225
30226,Amanita sp NY06,25,20,napiform,30226
30226_2,Amanita sp NY06,na,na,na,
30227,Amanita sp NY06,15,10,napiform,30227
30228,Amanita flavoconia,20,10,ovoid,30228
30230,Amanita aff. rubescens,20,20,globose,30230
30230_2,Amanita aff. rubescens,30,25,subglobose,
30230_3,Amanita aff. rubescens,25,25,globose,
30230_4,Amanita aff. rubescens,na,na,na,
30230_5,Amanita aff. rubescens,25,25,globose,
30230_6,Amanita aff. rubescens,30,30,globose,
30230_7,Amanita aff. rubescens,15,15,globose,
30230_8,Amanita aff. rubescens,17,20,subglobose,
30231,Amanita aff. rubescens,13,22,na,30231
30232,Amanita aff. rubescens,15,18,subglobose,30232
30233,Amanita rhacopus,0,0,no bulb,30233
30234,Amanita rhacopus,0,0,no bulb,30234
30239,Amanita virginiana,0,0,no bulb,30239
30239_2,Amanita virginiana,0,0,no bulb,
30246,Amanita brunnescens,30,35,ovoid,30246
30248,Amanita brunnescens,25,30,ovoid,30248
30249,Amanita sp NY06,na,na,na,30249
30249_2,Amanita sp NY06,10,10,globose,
30252,Amanita aff. rubescens,na,na,na,30252
30253,Amanita brunnescens,25,35,ovoid,30253
30254,Amanita brunnescens,15,25,ovoid,30254
30256,Amanita rhacopus,0,0,no bulb,30256
30258,Amanita brunnescens,20,30,ovoid,30258
30259,Amanita brunnescens,20,20,globose,30259
30260,Amanita solaniolens,15,20,ovoid,30260
30263,Amanita brunnescens,20,25,ovoid,30263
30264,Amanita aff. rubescens,20,20,globose,30264
30272,Amanita brunnescens,10,17,ovoid,30272
30275,Amanita bisporigera,15,23,ovoid,30275
30277,Amanita bisporigera,10,10,globose,30277
30280,Amanita populiphila,0,0,no bulb,30280
30280_2,Amanita populiphila,0,0,no bulb,
30280_3,Amanita populiphila,0,0,no bulb,
30280_4,Amanita populiphila,0,0,no bulb,
30280_5,Amanita populiphila,0,0,no bulb,
30280_6,Amanita populiphila,0,0,no bulb,
30280_7,Amanita populiphila,0,0,no bulb,
30281,Amanita sp 44,0,0,no bulb,30281
30282,Amanita sp 44,0,0,no bulb,30282
30284,Amanita suballiacea,30,25,subglobose,30284
30285,Amanita sp 44,0,0,no bulb,30285
30286,Amanita porphyria,20,25,subglobose,30286
30293,Amanita porphyria,25,20,subglobose,30293
