specimen_id,species,attachment,colorinmasse,distribution,staining,breadth,edge,othercomment,specimen_id
30181,Amanita bisporigera,free,cream,subcrowded,no,not observed,not observed,Wrinkling at margin,30181
30182,Amanita suballiacea,free,white,crowded,no,not observed,not observed,Tapering towards stem,30182
30183,Amanita oberwinkleriana,narrowly adnexed,cream-light yellow,Sub crowded,no,not observed,not observed,,30183
30184,Amanita suballiacea,free,cream to light yellow,subcrowded,no,not observed,not observed,Yellowing with age,30184
30186,Amanita sp 44,free,white to cream,subcrowded,no,not observed,not observed,wrinkling since been picked,30186
30187,Amanita suballiacea,narrowly adnexed,white,crowded,no,not observed,not observed,Folded over themselves after being picked,30187
30187_2,Amanita suballiacea,narrowly adnexed,white,crowded,no,not observed,not observed,,30187.2
30187_3,Amanita suballiacea,narrowly adnexed,white,subcrowded,no,not observed,not observed,,30187.3
30189,Amanita rhacopus,free,white,subcrowded,no,not observed,not observed,Gills have serated edges,30189
30190,Amanita frostiana,free,white,crowded,no,not observed,not observed,Annulus still covering,30190
30191,Amanita frostiana,free,Light yellow,crowded,no,not observed,not observed,,30191
30192,Amanita muscaria var. guessowii,narrowly adnexed,white-cream,crowded,no,not observed,not observed,,30192
30195,Amanita amerivirosa,free,Dingey white,crowded,no,not observed,not observed,,30195
30196,Amanita muscaria var. guessowii,free,white-dingey white,subcrowded,no,not observed,not observed,notched onto stipe,30196
30197,Amanita muscaria var. guessowii,free,white,subcrowded,no,not observed,not observed,,30197
30200,Amanita bisporigera,free,white,crowded,no,not observed,not observed,,30200
30205,Amanita flavoconia,free,white-yellow white,crowded,no,not observed,not observed,,30205
30206,Amanita flavoconia,free,white with slight tinge of yellow,crowded,no,not observed,not observed,,30206
30209,Amanita amerivirosa,free,white,crowded,no,not observed,not observed,,30209
30210,Amanita muscaria var. guessowii,free,white,crowded,no,not observed,not observed,,30210
30211,Amanita muscaria var. guessowii,na,na,na,na,na,na,na,30211
30225,Amanita populiphila,narrowly adnexed,cream,subcrowded,no,not observed,fimbriate,,30225
30226,Amanita sp NY06,free,white,subcrowded,no,broad,fimbriate,,30226
30226_2,Amanita sp NY06,free,white,subcrowded,no,broad,fimbriate,,
30227,Amanita sp NY06,adnexed,white,subcrowded,no,broad,smooth,,30227
30228,Amanita flavoconia,free,white yellow tinge toward margin,crowded,no,not observed,smooth,,30228
30230,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,30230
30230_2,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,
30230_3,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,
30230_4,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,
30230_5,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,
30230_6,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,
30230_7,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,
30230_8,Amanita aff. rubescens,adnexed,white,subcrowded,no,not observed,smooth,,
30231,Amanita aff. rubescens,adnexed,white,crowded,no,not observed,smooth,,30231
30232,Amanita aff. rubescens,adnexed,white,crowded,brick,not observed,smooth,,30232
30233,Amanita rhacopus,adnexed,white,Subdistant,no,not observed,smooth,,30233
30234,Amanita rhacopus,free,grey,subcrowded,no,not observed,smooth,,30234
30239,Amanita virginiana,adnexed,white,subcrowded,no,narrow,smooth,,30239
30239_2,Amanita virginiana,adnexed,white,subcrowded,no,narrow,smooth,,
30246,Amanita brunnescens,na,na,na,na,na,na,na,30246
30248,Amanita brunnescens,free,white,crowded,no,broad,smooth,,30248
30249,Amanita sp NY06,adnexed,white,subcrowded,no,not observed,not observed,,30249
30249_2,Amanita sp NY06,adnexed,white,subcrowded,no,not observed,not observed,,
30252,Amanita aff. rubescens,adnate,white,subcrowded,no,broad,smooth,,30252
30253,Amanita brunnescens,na,na,na,na,na,na,na,30253
30254,Amanita brunnescens,free,white,crowded,no,broad,crenate,,30254
30256,Amanita rhacopus,free,white,subcrowded,no,broad,smooth,,30256
30258,Amanita brunnescens,adnexed,cream,subcrowded,no,broad,crenate,,30258
30259,Amanita brunnescens,adnexed,white,crowded,no,narrow,crenate,,30259
30260,Amanita solaniolens,adnexed,white,subcrowded,no,broad,crenate,,30260
30263,Amanita brunnescens,free,white,crowded,no,broad,smooth,,30263
30264,Amanita aff. rubescens,na,na,na,na,na,na,na,30264
30272,Amanita brunnescens,adnexed,white,subcrowded,slight brown,broad,crenate,really chewed up,30272
30275,Amanita bisporigera,adnexed,white,crowded,no,broad,fimbriate,,30275
30277,Amanita bisporigera,adnexed,white,crowded,no,broad,fimbriate,,30277
30280,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,,30280
30280_2,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,,
30280_3,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,,
30280_4,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,,
30280_5,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,,
30280_6,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,,
30280_7,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,,
30281,Amanita sp 44,adnexed,white,subcrowded,no,broad,crenate,,30281
30282,Amanita sp 44,adnexed,light brown,subcrowded,no,broad,crenate,,30282
30284,Amanita suballiacea,free,white,subcrowded,no,broad,crenate,,30284
30285,Amanita sp 44,free,white,subcrowded,no,broad,crenate,check photo to see if gills are almost split,30285
30286,Amanita porphyria,adnexed,white,crowded,no,broad,fimbriate,,30286
30293,Amanita porphyria,adnexed,white,crowded,no,broad,smooth,,30293
