specimen_id,species,form,amount,distribution,end,specimen_id
30181,Amanita bisporigera,uneven lengths,plentiful,uneven,not observed,30181
30182,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,30182
30183,Amanita oberwinkleriana,uneven lengths,dispersed,uneven,not observed,30183
30184,Amanita suballiacea,uneven lengths,dispersed,uneven,not observed,30184
30186,Amanita sp 44,uneven lengths,dispersed,uneven,not observed,30186
30187,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,30187
30187_2,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,30187.2
30187_3,Amanita suballiacea,uneven lengths,plentiful,uneven,not observed,30187.3
30189,Amanita rhacopus,uneven lengths,plentiful,uneven,not observed,30189
30190,Amanita frostiana,uneven lengths,plentiful,uneven,not observed,30190
30191,Amanita frostiana,uneven lengths,plentiful,uneven,not observed,30191
30192,Amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed,30192
30195,Amanita amerivirosa,uneven lengths,dispersed,uneven,not observed,30195
30196,Amanita muscaria var. guessowii,na,na,na,na,30196
30197,Amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed,30197
30200,Amanita bisporigera,uneven lengths,plentiful,uneven,not observed,30200
30205,Amanita flavoconia,uneven lengths,plentiful,uneven,not observed,30205
30206,Amanita flavoconia,uneven lengths,plentiful,even,not observed,30206
30209,Amanita amerivirosa,uneven lengths,plentiful,uneven,not observed,30209
30210,Amanita muscaria var. guessowii,uneven lengths,plentiful,uneven,not observed,30210
30211,Amanita muscaria var. guessowii,not observed,not observed,not observed,not observed,30211
30225,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,30225
30226,Amanita sp NY06,uneven lengths,plentiful,uneven,truncate,30226
30226_2,Amanita sp NY06,uneven lengths,plentiful,uneven,truncate,
30227,Amanita sp NY06,uneven lengths,plentiful,uneven,truncate,30227
30228,Amanita flavoconia,uneven lengths,plentiful,uneven,rounded truncate,30228
30230,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,30230
30230_2,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_3,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_4,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_5,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_6,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_7,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30230_8,Amanita aff. rubescens,uneven lengths,plentiful,even,reduced,
30231,Amanita aff. rubescens,uneven lengths,plentiful,uneven,truncate,30231
30232,Amanita aff. rubescens,uneven lengths,dispersed,uneven,truncate,30232
30233,Amanita rhacopus,uneven lengths,plentiful,uneven,truncate,30233
30234,Amanita rhacopus,uneven lengths,plentiful,uneven,truncate,30234
30239,Amanita virginiana,uneven lengths,plentiful,uneven,truncate,30239
30239_2,Amanita virginiana,uneven lengths,plentiful,uneven,truncate,
30246,Amanita brunnescens,not observed,not observed,not observed,not observed,30246
30248,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,30248
30249,Amanita sp NY06,uneven lengths,dispersed,uneven,truncate,30249
30249_2,Amanita sp NY06,uneven lengths,dispersed,uneven,truncate,
30252,Amanita aff. rubescens,uneven lengths,plentiful,uneven,truncate,30252
30253,Amanita brunnescens,not observed,not observed,not observed,not observed,30253
30254,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,30254
30256,Amanita rhacopus,uneven lengths,not observed,uneven,truncate,30256
30258,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,30258
30259,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,30259
30260,Amanita solaniolens,uneven lengths,plentiful,uneven,rounded truncate,30260
30263,Amanita brunnescens,uneven lengths,plentiful,uneven,truncate,30263
30264,Amanita aff. rubescens,not observed,not observed,not observed,not observed,30264
30272,Amanita brunnescens,not observed,not observed,not observed,not observed,30272
30275,Amanita bisporigera,uneven lengths,plentiful,uneven,truncate,30275
30277,Amanita bisporigera,uneven lengths,plentiful,uneven,truncate,30277
30280,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,30280
30280_2,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_3,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_4,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_5,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_6,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_7,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30281,Amanita sp 44,uneven lengths,plentiful,even,truncate,30281
30282,Amanita sp 44,uneven lengths,plentiful,uneven,truncate,30282
30284,Amanita suballiacea,uneven lengths,plentiful,uneven,truncate,30284
30285,Amanita sp 44,uneven lengths,plentiful,uneven,truncate,30285
30286,Amanita porphyria,two lengths,plentiful,even,truncate,30286
30293,Amanita porphyria,uneven lengths,plentiful,uneven,rounded truncate,30293
