specimen_id,species,diameter_mm,centercolor,margincolor,shape,surfacetexture,umbonate,striationlength_mm,appendiculate,universalveilpresent,staining,contextcolor,specimen_id
30181,Amanita bisporigera,52,light brownish yellow,white,plano-convex,glaborous,umbonate,0,not appendiculate,universal veil absent,no staining,white,30181
30182,Amanita suballiacea,107,white,white,planar,dry and Smooth,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30182
30183,Amanita oberwinkleriana,60,shiny white,shiny white,plano-concave,viscid,not umbonate,4,not appendiculate,universal veil present,no staining,white,30183
30184,Amanita suballiacea,58,cream,white,plano-convex,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30184
30186,Amanita sp 44,27,cream,white,planar,viscid,not umbonate,5,not appendiculate,universal veil present,slight grey,white,30186
30187,Amanita suballiacea,112,cream,white,plano-convex,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30187
30187_2,Amanita suballiacea,69,cream,white,planar,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30187.2
30187_3,Amanita suballiacea,113,cream,white,planar,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30187.3
30189,Amanita rhacopus,75,dark brown,light brown,planar,viscid,minutely umbonate,12,not appendiculate,universal veil present,no staining,white,30189
30190,Amanita frostiana,65,Yellow,yellow,convex,viscid,not umbonate,7,not appendiculate,universal veil present,no staining,white,30190
30191,Amanita frostiana,47,Yellow,yellow,convex,slightly viscid,not umbonate,9,not appendiculate,universal veil present,no staining,white,30191
30192,Amanita muscaria var. guessowii,57,light brown,white,planar,sticky,not umbonate,5,not appendiculate,universal veil present,no staining,white,30192
30195,Amanita amerivirosa,70,light brown,cream,convex,wrinkly,not umbonate,6,not appendiculate,universal veil absent,no staining,white,30195
30196,Amanita muscaria var. guessowii,127,light brown,light yellow,plano-concave,viscid,not umbonate,18,not appendiculate,universal veil present,no staining,white,30196
30197,Amanita muscaria var. guessowii,85,Yellow-orange,yellow,planar,viscid,not umbonate,9,not appendiculate,universal veil present,no staining,white,30197
30200,Amanita bisporigera,55,dingey white,white,planar,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30200
30205,Amanita flavoconia,45,brownish yellow,yellow,planar,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,30205
30206,Amanita flavoconia,33,brown,orange,plano-convex,viscid,not umbonate,1,not appendiculate,universal veil present,no staining,white,30206
30209,Amanita amerivirosa,57,light brown,white,planar,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30209
30210,Amanita muscaria var. guessowii,70,orange,yellow,plano-convex,Sticky,not umbonate,6,not appendiculate,universal veil present,no staining,white,30210
30211,Amanita muscaria var. guessowii,45,light yellow,light yellow,campanulate,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,30211
30225,Amanita populiphila,62,light pink,lighter pink,planar,glaborous,not umbonate,8,not appendiculate,universal veil present,no staining,white,30225
30226,Amanita sp NY06,40,light brownish yellow,light brownish yellow,convex,viscid,not umbonate,3,not appendiculate,universal veil present,no staining,white,30226
30226_2,Amanita sp NY06,50,light yellow,white,planar,glaborous,not umbonate,8,not appendiculate,universal veil present,no staining,white,
30227,Amanita sp NY06,26,light brown cream,cream,planar,glaborous,not umbonate,2,not appendiculate,universal veil present,no staining,white,30227
30228,Amanita flavoconia,32,orange-yellow,lighter orange-yellow,convex,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,30228
30230,Amanita aff. rubescens,50,reddish brown,yellow brown,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,30230
30230_2,Amanita aff. rubescens,75,reddish brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_3,Amanita aff. rubescens,85,reddish brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_4,Amanita aff. rubescens,80,brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_5,Amanita aff. rubescens,82,light brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_6,Amanita aff. rubescens,132,reddish brown,light brown,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_7,Amanita aff. rubescens,34,yellow-brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30230_8,Amanita aff. rubescens,45,brown,cream,convex,not observed,not umbonate,0,not appendiculate,universal veil present,brick,white,
30231,Amanita aff. rubescens,90,brown,brown,convex,dry,not umbonate,0,not appendiculate,universal veil absent,brick,white,30231
30232,Amanita aff. rubescens,70,light brown,white,planar,glaborous,not umbonate,3,not appendiculate,universal veil present,brick,white,30232
30233,Amanita rhacopus,67,dark brown,light brown,planar,viscid,not umbonate,14,not appendiculate,universal veil absent,no staining,white,30233
30234,Amanita rhacopus,98,dark brown,light brown,planar,glaborous,not umbonate,20,not appendiculate,universal veil absent,no staining,white,30234
30239,Amanita virginiana,30,grey-brown,grey-brown,plano-convex,not observed,not umbonate,5,not appendiculate,universal veil absent,no staining,white,30239
30239_2,Amanita virginiana,20,grey-brown,grey-brown,plano-convex,not observed,not umbonate,3,not appendiculate,universal veil present,no staining,white,
30246,Amanita brunnescens,60,brown,light brown,campanulate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,30246
30248,Amanita brunnescens,65,dark brown,brown,convex,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,30248
30249,Amanita sp NY06,45,dingey yellow,light tan to cream,plano-concave,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white,30249
30249_2,Amanita sp NY06,40,dingey yellow,cream,planar,viscid,not umbonate,5,not appendiculate,universal veil present,,white,
30252,Amanita aff. rubescens,52,light brownish red,white,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,brick,white,30252
30253,Amanita brunnescens,50,cream,white,campanulate,dry,not umbonate,0,not appendiculate,universal veil present,no staining,white,30253
30254,Amanita brunnescens,80,brown,light brown,plano-convex,Sticky,umbonate,0,not appendiculate,universal veil present,no staining,white,30254
30256,Amanita rhacopus,50,brown,brown,planar,viscid,not umbonate,5,not appendiculate,universal veil present,no staining,white,30256
30258,Amanita brunnescens,75,brown radiating,light brown,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,30258
30259,Amanita brunnescens,55,light brown,cream,planar,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,30259
30260,Amanita solaniolens,40,light brown-yellow,cream w brown ring,plano-concave,majorly viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white,30260
30263,Amanita brunnescens,90,brown,light brown,planar,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30263
30264,Amanita aff. rubescens,40,light brown,white,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,30264
30272,Amanita brunnescens,50,light brown,cream,planar,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white,30272
30275,Amanita bisporigera,60,white,white,planar,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white,30275
30277,Amanita bisporigera,30,light brown tinge,white,planar,dry,umbonate,0,not appendiculate,universal veil absent,no staining,white,30277
30280,Amanita populiphila,85,pink-tan,pink-tan,convex,glaborous,not umbonate,10,not appendiculate,universal veil absent,no staining,white,30280
30280_2,Amanita populiphila,70,pink-tan,pink-tan,convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30280_3,Amanita populiphila,40,pink-tan,pink-tan,plano-convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white,
30280_4,Amanita populiphila,45,pink-tan,pink-tan,planar,glaborous,not umbonate,12,not appendiculate,universal veil absent,no staining,white,
30280_5,Amanita populiphila,40,pink-tan,pink-tan,planar,glaborous,not umbonate,3,not appendiculate,universal veil absent,no staining,white,
