specimen_id,species,sectionid,collector,hosttree1,hosttree2,lat,long,county,site,datecollected
30181,Amanita bisporigera,Phalloideae,MH,Picea,,43.228208,-89.733018,Dane,Lower Wisconsin State Riverway,2024-08-25
30182,Amanita suballiacea,Phalloideae,MH,Quercus rubra (Red Oak),,43.126597,-89.370765,Dane,Warner Park,2024-08-26
30183,Amanita oberwinkleriana,Roanokensis,MH,White Oak,,42.859437,-89.499095,Dane,Brooklyn Wildlife Area,2024-08-28
30184,Amanita suballiacea,Phalloideae,MH,Black Oak,Large toothed aspen,42.85954,-89.498477,Dane,Brooklyn Wildlife Area,2024-08-28
30186,Amanita sp 44,Vaginatae,MH,White Oak,,42.857191,-89.497948,Dane,Brooklyn Wildlife Area,2024-08-28
30187,Amanita suballiacea,Phalloideae,MH,Red Oak,,42.858051,-89.499412,Dane,Brooklyn Wildlife Area,2024-08-28
30187.2,Amanita suballiacea,Phalloideae,MH,Red Oak,,42.858051,-89.499412,Dane,Brooklyn Wildlife Area,2024-08-28
30187.3,Amanita suballiacea,Phalloideae,MH,Red Oak,,42.858089,-89.499331,Dane,Brooklyn Wildlife Area,2024-08-28
30189,Amanita rhacopus,Vaginatae,MH,Hemlock,,46.853603,-87.843934,Marquette (MI),North Ives Lake Trail,2024-09-01
30190,Amanita frostiana,Amanita,MH,White Pine,Red pine,46.854574,-87.851893,Marquette (MI),North Ives Lake Trail,2024-09-01
30191,Amanita frostiana,Amanita,MH,White Pine,Red pine,46.854777,-87.851744,Marquette (MI),North Ives Lake Trail,2024-09-01
30192,Amanita muscaria var. guessowii,Amanita,MH,Hemlock,Birch/Beech,46.855325,-87.857067,Marquette (MI),Mount Ives,2024-09-01
30195,Amanita amerivirosa,Phalloideae,MH,Red pine,White Pine,46.855326,-87.854777,Marquette (MI),East Pine Lake,2024-09-01
30196,Amanita muscaria var. guessowii,Amanita,MH,Tsuga,Betula,46.379043,-86.467467,Alger country MI,Cusino,2024-09-07
