specimen_id,species,length_mm,width_mm,color,shape,decoration_bottom,decoration_top,staining,annulus,universal_veil,context_type,context_color,context_stain,specimen_id
30181,Amanita bisporigera,93,21,white,narrowing upward,fibrillose,smooth,not apparent,present,present,,,,30181
30182,Amanita suballiacea,75,62,white,narrowing upward,fibrillose,na,not apparent,present,present,Solid spongy,White,no,30182
30183,Amanita oberwinkleriana,93,7,white-light yellow,narrowing upward,minutely fibrillose,smooth,not apparent,present,present,,,,30183
30184,Amanita suballiacea,112,8,white-light yellow,narrowing upward,flocculose,smooth,not apparent,present,present,Spongy,Cream,not apparent,30184
30186,Amanita sp 44,24,5,white-cream,narrowing upward,minutely scabrous,na,grey,absent,present,,,,30186
30187,Amanita suballiacea,125,18,white,cylindrical,floccose,scabrous,not apparent,present,present,,,,30187
30187_2,Amanita suballiacea,112,11,white,cylindrical,majorly floccose-peeling,na,not apparent,present,present,Solid,white to light yellow at edge,,30187.2
30187_3,Amanita suballiacea,190,17,white,cylindrical,majorly floccose,na,not apparent,present,present,,,,30187.3
30189,Amanita rhacopus,115,10,light brown and white,narrowing upward,scabrous,na,not apparent,absent,present,Stuffed,White,No,30189
30190,Amanita frostiana,55,9,white  with yellow tints,cylindrical,floccose,na,brown,present,present,Stuffed,White,yellow,30190
30191,Amanita frostiana,45,7,dingey white,narrowing upward,scabrous,na,not apparent,present,present,Stuffed,White,No,30191
30192,Amanita muscaria var. guessowii,51,7,dingey white,cylindrical,streaking,streaking,not apparent,present,present,Solid spongy,White,,30192
30195,Amanita amerivirosa,147,9,dingey white,narrowing upward,scabrous,na,not apparent,present,present,Solid-spongy,white,no,30195
30196,Amanita muscaria var. guessowii,60,14,light yellow,narrowing upward,minutely fibrillose,na,not apparent,absent,present,,,,30196
30197,Amanita muscaria var. guessowii,85,9,dingey yellow white,cylindrical,floccose,na,not apparent,absent,absent,,,,30197
30200,Amanita bisporigera,50,6,cream,cylindrical,na,na,not apparent,absent,present,,,,30200
30205,Amanita flavoconia,47,5,yellow-brown,narrowing upward,smooth,smooth,not apparent,absent,absent,,,,30205
30206,Amanita flavoconia,37,4,yellow,narrowing upward,fibrillose,smooth,not apparent,present,absent,,,,30206
30209,Amanita amerivirosa,33,11,white,narrowing upward,scabrous,smooth,not apparent,present,present,,,,30209
30210,Amanita muscaria var. guessowii,75,9,light yellow,cylindrical,floccose,floccose,not apparent,present,present,,,,30210
30211,Amanita muscaria var. guessowii,na,na,na,na,na,na,na,na,na,na,na,na,30211
30225,Amanita populiphila,55,10,white,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,,,,30225
30226,Amanita sp NY06,65,9,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,,30226
30226_2,Amanita sp NY06,not observed,not observed,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,,
30227,Amanita sp NY06,52,5,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,,30227
30228,Amanita flavoconia,40,9,yellos,narrowing upward,smooth,smooth,not apparent,present,absent,,white,no,30228
30230,Amanita aff. rubescens,90,10,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,30230
30230_2,Amanita aff. rubescens,108,12,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,
30230_3,Amanita aff. rubescens,135,13,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,
30230_4,Amanita aff. rubescens,180,15,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,
30230_5,Amanita aff. rubescens,125,17,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,
30230_6,Amanita aff. rubescens,137,20,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,
30230_7,Amanita aff. rubescens,40,5,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,
30230_8,Amanita aff. rubescens,95,13,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,,
30231,Amanita aff. rubescens,112,17,white with pink stain,narrowing upward,transverse cracks,smooth,brick,na,absent,,,,30231
30232,Amanita aff. rubescens,87,12,red-brown,narrowing upward,minutely fibrillose,smooth,brick,present,absent,,,,30232
30233,Amanita rhacopus,140,10,light-brown cream,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,,,,30233
30234,Amanita rhacopus,169,15,grey-brown,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,,,,30234
30239,Amanita virginiana,55,7,white,cylindrical,smooth,smooth,not apparent,present,present,,,,30239
30239_2,Amanita virginiana,45,5,white,cylindrical,smooth,smooth,not apparent,present,present,,,,
30246,Amanita brunnescens,50,20,white,narrowing upward,smooth,smooth,not apparent,na,absent,Solid-spongy,white,brown,30246
30248,Amanita brunnescens,80,15,white,narrowing upward,minutely scabrous,smooth,not apparent,na,absent,,,,30248
30249,Amanita sp NY06,65,5,white,cylindrical,minutely scabrous,smooth,not apparent,absent,present,,,,30249
30249_2,Amanita sp NY06,40,5,white,cylindrical,minutely scabrous,smooth,not apparent,absent,present,,,,
30252,Amanita aff. rubescens,45,10,light brownish red,cylindrical,fibrillose,smooth,brick,present,absent,Stuffed,,brown red,30252
30253,Amanita brunnescens,30,15,white,narrowing upward,na,na,not apparent,na,absent,,,,30253
30254,Amanita brunnescens,115,15,white,cylindrical,fibrillose,smooth,not apparent,present,absent,,,,30254
30256,Amanita rhacopus,85,7,"white, light grey at bottom",narrowing upward,minutely scabrous,smooth,not apparent,absent,present,Hollow,white,,30256
30258,Amanita brunnescens,75,13,white,narrowing upward,streaking,na,na,present,absent,,,,30258
30259,Amanita brunnescens,80,10,white,narrowing downward,streaking,smooth,slight brown tint,present,present,,,,30259
30260,Amanita solaniolens,65,7,white near top brown streaks toward bottom,narrowing downward,streaking,minutely scabrous,not apparent,present,present,,,,30260
30263,Amanita brunnescens,140,13,white light brown above annulus,narrowing upward,streaking,smooth,brick,present,absent,,white,,30263
30264,Amanita aff. rubescens,30,17,white,na,na,na,brick,na,absent,,,,30264
30272,Amanita brunnescens,110,5,cream,cylindrical,smooth,smooth,brown,present,present,,,,30272
30275,Amanita bisporigera,140,7,white,narrowing upward,smooth,smooth,not apparent,present,present,,,,30275
30277,Amanita bisporigera,90,3,white,narrowing upward,smooth,minutely fibrillose,not apparent,present,present,,,,30277
30280,Amanita populiphila,75,15,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,,30280
30280_2,Amanita populiphila,90,15,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,,
30280_3,Amanita populiphila,75,10,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,,
30280_4,Amanita populiphila,70,7,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,,
30280_5,Amanita populiphila,60,10,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,,
30280_6,Amanita populiphila,70,14,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,,
30280_7,Amanita populiphila,75,15,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,,
30281,Amanita sp 44,50,6,cream,cylindrical,minutely scabrous,smooth,not apparent,absent,present,Stuffed,white,,30281
30282,Amanita sp 44,80,5,cream,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,,,,30282
30284,Amanita suballiacea,80,10,light brown,narrowing upward,scabrous,scabrous,not apparent,present,present,,,,30284
30285,Amanita sp 44,80,10,grey,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,,,,30285
30286,Amanita porphyria,60,7,light brown,narrowing upward,streaking,smooth,not apparent,present,present,,,,30286
30293,Amanita porphyria,95,10,light brown,narrowing upward,scabrous,smooth,not apparent,present,absent,,,,30293
