specimen_id,species,form,color,texture,attachment,distribution,specimen_id
30181,Amanita bisporigera,na,na,na,na,na,30181
30182,Amanita suballiacea,na,na,na,na,na,30182
30183,Amanita oberwinkleriana,patches,white,membranous,adnate,As roughly five large patches near margin not touching very center,30183
30184,Amanita suballiacea,na,na,na,na,na,30184
30186,Amanita sp 44,patches,white,membranous,adnate,1 patch,30186
30187,Amanita suballiacea,na,na,na,na,na,30187
30187_2,Amanita suballiacea,na,na,na,na,na,30187.2
30187_3,Amanita suballiacea,na,na,na,na,na,30187.3
30189,Amanita rhacopus,patches,Brown,submembranous,easily removed,Five small patches in a single area on pileus,30189
30190,Amanita frostiana,warts,white,membranous,easily removed,Very few near the margin,30190
30191,Amanita frostiana,warts,white,membranous,easily removed,Cover pileus semi-densely,30191
30192,Amanita muscaria var. guessowii,patches,dingey white to brown,membranous,adnate,Almost evenly distributed across pileus,30192
30195,Amanita amerivirosa,na,na,na,na,na,30195
30196,Amanita muscaria var. guessowii,warts,dingey brown,membranous,easily removed,Prolific and consant on all pileus,30196
30197,Amanita muscaria var. guessowii,warts,dingey white,friable,na,Relatively even,30197
30200,Amanita bisporigera,na,na,na,na,na,30200
30205,Amanita flavoconia,warts,dingey white-brown,membranous,adnate,only on very center,30205
30206,Amanita flavoconia,warts,dingey brown,friable,easily removed,few towards the center,30206
30209,Amanita amerivirosa,na,na,na,na,na,30209
30210,Amanita muscaria var. guessowii,warts,dingey white - brown,friable,easily removed,Mostly even with one side not having many,30210
30211,Amanita muscaria var. guessowii,warts,white,membranous,adnate,fully covering piileus,30211
30225,Amanita populiphila,warts,light pink,hard,adnate,sparse but evenish,30225
30226,Amanita sp NY06,patches,white,submembranous,easily removed,uneve and sparse,30226
30226_2,Amanita sp NY06,patches,white,submembranous,easily removed,uneve and sparse,
30227,Amanita sp NY06,patches,white,submembranous,easily removed,uneve and sparse,30227
30228,Amanita flavoconia,patches,white-yellow tinge,pulverulent,easily removed,uneven semi-sparse,30228
30230,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,30230
30230_2,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_3,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_4,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_5,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_6,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_7,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30230_8,Amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse,
30231,Amanita aff. rubescens,na,na,na,na,na,30231
30232,Amanita aff. rubescens,patches,cream,pulverulent,easily removed,uneven (only 1),30232
30233,Amanita rhacopus,na,na,na,na,na,30233
30234,Amanita rhacopus,na,na,na,na,na,30234
30239,Amanita virginiana,patches,white,membranous,easily removed,singular patch,30239
30239_2,Amanita virginiana,patches,white,membranous,easily removed,singular patch,
30246,Amanita brunnescens,warts,white brown center,membranous,easily removed,fully covering center 50%,30246
30248,Amanita brunnescens,patches,white brown tint,submembranous,easily removed,uneven common around pileus,30248
30249,Amanita sp NY06,warts,white,membranous,easily removed,1 to 3,30249
30249_2,Amanita sp NY06,warts,white,membranous,easily removed,1 to 3,
30252,Amanita aff. rubescens,warts,white,sub-membranous,adnate,fully covered in rings,30252
30253,Amanita brunnescens,patches,white staining brown,sub-membranous,adnate,almost fully covered,30253
30254,Amanita brunnescens,warts,brown center white edges,sub-membranous,easily removed,"dispersed (uneven, ring around margin",30254
30256,Amanita rhacopus,warts,dark grey,sub-membranous,easily removed,clumps in center,30256
30258,Amanita brunnescens,patches,white,submembranous,easily removed,small and only 3 towards margin,30258
30259,Amanita brunnescens,patches,tan,pulverulent,easily removed,one large patch in middle,30259
30260,Amanita solaniolens,patches,cream to light brown,pulverulent,easily removed,two big patches neaar center,30260
30263,Amanita brunnescens,na,na,na,na,na,30263
30264,Amanita aff. rubescens,warts,brown middle white margin,pulverulent,easily removed,almost fully covering,30264
30272,Amanita brunnescens,powder,white,pulverulent,easily removed,very dispersed only on margin,30272
30275,Amanita bisporigera,na,na,na,na,na,30275
30277,Amanita bisporigera,na,na,na,na,na,30277
30280,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,30280
30280_2,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_3,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_4,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_5,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_6,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
,Amanita populiphila,,,,,,
30281,Amanita sp 44,patches,cream,submembranous,easily removed,one patch,30281
30282,Amanita sp 44,na,na,na,na,na,30282
30284,Amanita suballiacea,na,na,na,na,na,30284
30285,Amanita sp 44,patches,white,membranous,adnate,1 patch towards margin,30285
30286,Amanita porphyria,powder,brown,pulverulent,easily removed,dispersed uneven,30286
30293,Amanita porphyria,powder,brown - dingey white,pulverulent,easily removed,uneven common,30293
