specimen_id,species,type,texture,color,layered,toughorflimsy,specimen_id
30181,Amanita bisporigera,saccate,membranous,white,not layered,flimsy,30181
30182,Amanita suballiacea,saccate,thick membranous,white,not layered,tough,30182
30183,Amanita oberwinkleriana,collared,submembranous,white,not layered,flimsy-ish,30183
30184,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,30184
30186,Amanita sp 44,saccate,membranous,white,not layered,flimsy,30186
30187,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,30187
30187_2,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,30187.2
30187_3,Amanita suballiacea,saccate,membranous,white,not layered,flimsy,30187.3
30189,Amanita rhacopus,saccate,membranous,dingey white,not layered,flimsy,30189
30190,Amanita frostiana,collared,membranous,white,not layered,tough,30190
30191,Amanita frostiana,Loose patches,submembranous,yellow,layered,flimsy,30191
30192,Amanita muscaria var. guessowii,as warts,membranous,dingey white,layered,na,30192
30195,Amanita amerivirosa,saccate,membranous,white,not layered,toughish,30195
30196,Amanita muscaria var. guessowii,as warts,membranous,dingey white,layered,tough,30196
30197,Amanita muscaria var. guessowii,not evident,na,na,not layered,na,30197
30200,Amanita bisporigera,saccate,membranous,white,not layered,toughish,30200
30205,Amanita flavoconia,not evident,na,na,not layered,na,30205
30206,Amanita flavoconia,not evident,na,na,not layered,na,30206
30209,Amanita amerivirosa,limbate,membranous,dingey white - brown,not layered,tough,30209
30210,Amanita muscaria var. guessowii,as warts,submembranous,light yellow,layered,na,30210
30211,Amanita muscaria var. guessowii,limbate,membranous,dingey white,not layered,tough,30211
30225,Amanita populiphila,limbate,membranous,yellow tinge,not layered,tough,30225
30226,Amanita sp NY06,limbate,submembranous,white,not layered,flimsy,30226
30226_2,Amanita sp NY06,limbate,submembranous,white,not layered,flimsy,
30227,Amanita sp NY06,limbate,submembranous,white,not layered,flimsy,30227
30228,Amanita flavoconia,not evident,na,na,not layered,na,30228
30230,Amanita aff. rubescens,not evident,na,na,not layered,na,30230
30230_2,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_3,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_4,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_5,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_6,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_7,Amanita aff. rubescens,not evident,na,na,not layered,na,
30230_8,Amanita aff. rubescens,not evident,na,na,not layered,na,
30231,Amanita aff. rubescens,not evident,na,na,not layered,na,30231
30232,Amanita aff. rubescens,not evident,na,na,not layered,na,30232
30233,Amanita rhacopus,sheathing,pulverulent,na,not layered,na,30233
30234,Amanita rhacopus,sheathing,pulverulent,dark grey,not layered,na,30234
30239,Amanita virginiana,saccate,membranous,white,not layered,tough,30239
30239_2,Amanita virginiana,saccate,membranous,white,not layered,tough,
30246,Amanita brunnescens,not evident,na,na,not layered,na,30246
30248,Amanita brunnescens,not evident,na,na,not layered,na,30248
30249,Amanita sp NY06,limbate,membranous,white,not layered,flimsy,30249
30249_2,Amanita sp NY06,limbate,membranous,white,not layered,flimsy,
30252,Amanita aff. rubescens,na,na,na,na,na,30252
30253,Amanita brunnescens,not evident,na,na,not layered,na,30253
30254,Amanita brunnescens,not evident,na,na,not layered,na,30254
30256,Amanita rhacopus,sheathing,membranous,white staining grey?,not layered,flimsy,30256
30258,Amanita brunnescens,not evident,na,na,not layered,na,30258
30259,Amanita brunnescens,limbate,membranous,light brown,not layered,tough,30259
30260,Amanita solaniolens,limbate,membranous,light brown.,not layered,tough.,30260
30263,Amanita brunnescens,not evident,na,na,not layered,na,30263
30264,Amanita aff. rubescens,not evident,na,na,not layered,na,30264
30272,Amanita brunnescens,Loose patches,pulvernulent,brown,not layered,na,30272
30275,Amanita bisporigera,saccate,submembranous,white,not layered,flimsy,30275
30277,Amanita bisporigera,saccate,submembranous,white,not layered,flimsy,30277
30280,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,30280
30280_2,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_3,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_4,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_5,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_6,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30280_7,Amanita populiphila,limbate,membranous,white with yellow stain,not layered,tough,
30281,Amanita sp 44,saccate,submembranous,white,not layered,toughish,30281
30282,Amanita sp 44,sheathing,membranous,white,not layered,na,30282
30284,Amanita suballiacea,saccate,membranous,white,not layered,na,30284
30285,Amanita sp 44,sheathing,membranous,white,not layered,na,30285
30286,Amanita porphyria,limbate,membranous,light brown,not layered,na,30286
30293,Amanita porphyria,not evident,na,na,not layered,na,30293
