specimenid,collector,sectionid,hosttree1,hosttree2,coordinates,county,site,datecollected,specimen_id
40220,AGW,,,Red Oak,,Bayfield,Martenson Property,2025-08-09,40220
30293,MH,,,,,,,,30293
30291,MH,,,,,,,,30291
30288-9,,,,,,,,,30288-9
30287,CKS,,,,,,,,30287
30286,MH,,,,,,,,30286
30285,MH,,,,,Dane,Brooklyn Wildlife Area,2025-09-10,30285
30284,MH,,,,,,,,30284
30283,MH,,,,,,,,30283
30282,MH,,,,,,,,30282
30281,MH,,,,,Dane,Brooklyn Wildlife Area,2025-09-10,30281
30280,MH,,,,,,,,30280
30279,MH,,,,,Washburn,Wayside near Springbrook,2025-08-21,30279
30278,Mike H,,Hemlock,,,,St. Croix Flowage,2025-08-21,30278
30277,MH,Sect phalloideae,Red Oak,Black Oak,,,Chippewa Moraine State Recreation Area,2025-08-20,30277
30276,,,,,,,Chippewa Moraine,2025-08-20,30276
30275,MH,Sect phalloideae,Likely oak,surrounded by maple tho,,,Chippewa Moraine State Recreation Area,2025-08-20,30275
30274,MH,,,,,Chippewa,Ice Age National Scientific Reserve,2025-08-19,30274
30273,MH,,Oak,,,Chippewa,Ice Age National Scientific reserve,2025-08-19,30273
30272,MH,,,,,Vilas,Fallison Lake,2025-08-19,30272
30271,MH,,Hemlock,white pine,,Vilas,Fallison Lake,2025-08-19,30271
30270,MH,,White Pine,,,Oneida,Hemlock Lake,2025-08-18,30270
30269,MH,,White Pine,,,Oneida,Hemlock Lake,2025-08-18,30269
30268,MH,,,,,Oneida,Hemlock Lake,2025-08-18,30268
30267,MH,,White Pine,,,Oneida,Hemlock Lake,2025-08-18,30267
30265,MH,,,,,Oneida,Hemlock Lake,2025-08-18,30265
30264,MH,,White Pine,Hemlock,,Oneida,Hemlock Lake,2025-08-18,30264
30263,MH,,White Pine,Hemlock,,Oneida,Hemlock Lake,2025-08-18,30263
30262,MH,,White Pine,Red/Black Oak,,,Seeley Pass Trail,2025-08-17,30262
30261,MH,,,,,,Lake Owen,2025-08-17,30261
30260,MH,,,,,Douglas,North Country National Scenic Trail,2025-08-16,30260
30259,MH,,,,,Douglas,North County Trail,2025-08-16,30259
30258,Michael Hensley,,Hemlock,,,,Pattison State Park,2025-08-15,30258
30257,,,,,,,,,30257
30256,RT,,,"hemlock, cyprus, birch",,Bayfield,Martenson Property,2025-08-09,30256
30255,RT,,,hemlock,,Bayfield,Martenson Property,2025-08-09,30255
30254,RT,,Hemlock,,,Bayfield,Martenson property,2025-08-09,30254
30253,RT,,,Hemlock,,,,2025-08-09,30253
30252,Peyton Martinson,,,,,Bayfield,Stockton Island,2025-08-08,30252
30251,unkownn,,,,,,,,30251
30250,MH,,,,,Bayfield,Schultz's Fire Lane,2025-08-08,30250
30249,mh,Sect. vaginatae,,,,Bayfield,Schultz's Fire Lane,2025-08-08,30249
30248,Rowan Trest,,Hemlock,,,Bayfield,Jay Justice Trail,2025-08-08,30248
30247,RT,,,,,Bayfield,Jay Justice Trail,2025-08-08,30247
30246,RT,,,,,Bayfield,Jay Justice Trail,2025-08-08,30246
30245,rowan Trest,,Hemlock,,,Bayfield,Jay Justice Trail,2025-08-08,30245
30244,Rowan Trest,,,,,Bayfield,Jay Justice Trail,2025-08-08,30244
30243,Rowan trest,,,,,Bayfield,Jay Justice Trail,2025-08-08,30243
30242,RT,,,,,Bayfield,Jay Justice Trail,2025-08-08,30242
30240,Cecelia Stokes,,,,,Sauk,Devil's Lake,,30240
30239,Rowan Trest,Sect. Vaginatae,,,"43.421982, -89.709185",Dane,Devil's Lake,2025-07-27,30239
30238,Rowan Trest,,oak,,"43.4239829, -89.7379613",Sauk,Devil's Lake,2025-07-26,30238
30237,unknown,,,,,,,,30237
30236,Rowan Trest,,,,,,,,30236
30235,,,,,,,,,30235
30234,,,,,,,,,30234
30233,,,,,,,,,30233
30232,Rowan Trest,,,,,,,,30232
30231,Rowan Trest,,,,,,,,30231
30230,,,,,,,,,30230
30229,Michael,Sect. validae,hemlock,,,Forest,Franklin,2025-07-18,30229
30228,Aaliyah,Sect. validae,hemlock,,,Forest,Franklin,2025-07-18,30228
30227,Aaliyah Golden-Whitehead,Sect Amanita,hemlock,,,forest,franklin nature trail,2025-07-18,30227
30226,Rowan Trest,Sect Amanita,hemlock,,,forest,franklin nature trail,2025-07-18,30226
30225,MH,Sect. Amanita,Maple/Basswood/Locust,,,Dane,Monona bike path,2025-07-17,30225
30224,MH,Sect. Amanita,White oak,maybe maple,"43.42937, -89.73007",Sauk,Devil's Lake State Park,2025-07-06,30224
30223,MH,Sect. Amanita,White oak,,"43.42937, -89.73007",Sauk,Devil's Lake State Park,2025-07-06,30223
30222,MH,Sect. Amanita,possibly maple?,,"43.43125, -89.72988",Sauk,Devil's Lake State Park,2025-07-06,30222
30221,Unknown,Sect. Validea,,,,Dane,Lower Wisconsin Riverway,2025-06-29,30221
30220,Michael Hensley,sect. Vaginatae,White Oak,,"43.228, -89.73317",Dane,Lower Wisconsin Riverway,2025-06-29,30220
30219,Michael Hensley,Sect. Validae,White pine,White oak,"43.56454, -89.8216",Sauk,Mirror Lake State Park,2024-09-27,30219
30218,Michael Hensley,Sect. Validae,White oak,White pine,"43.56326, -89.82311",Sauk,Mirror Lake State Park,2024-09-27,30218
30217,Michael Hensley,Sect. Validae,White oak,White pine,"43.56319, -89.82315",Sauk,Mirror Lake State Park,2024-09-27,30217
30216,Michael Hensley,Sect. Validae,Black oak,"White pine, Jack pine","43.55648, -89.8085",Sauk,Mirror Lake State Park,2024-09-27,30216
30215,Michael Hensley,Sect. Vaginatae,White pine,,"43.56056, -89.81588",Sauk,Mirror Lake State Park,2024-09-27,30215
30214,Michael Hensley,Sect. Validae,White oak,White pine,,Adams,Chapel Gorge,2024-09-21,30214
30213,Michael Hensley,Sect. Validae,White oak,,"43.64691, -89.78711",Adams,Chapel Gorge,2024-09-21,30213
30212,Michael Hensley,,White oak,White pine,"43.64657, -89.78286",Adams,Chapel Gorge,2024-09-21,30212
30211,Michael Hensley,Sect. Amanita,"Pinus, Picea, Abies",Betula,,Marinette,Smalley Falls,2024-09-08,30211
30210,Michael Hensley,Sect. Amanita,Pinus,,,Marinette,Smalley Falls,2024-09-08,30210
